('7:21\n', '1\n')
('7:20\n', '1\n')
('7:19\n', '1\n')
('7:18\n', '1\n')
('7:17\n', '1\n')
('7:17\n', '1\n')
('4:49\n', '1\n')
('4:48\n', '1\n')
('4:47\n', '1\n')
('4:46\n', '1\n')
('4:45\n', '1\n')
('4:35\n', '1\n')
('4:34\n', '1\n')
('4:33\n', '1\n')
('4:32\n', '1\n')
('4:31\n', '1\n')
('110.3\n', '1\n')
(':09.4\n', '1\n')
(':084\n', '1\n')
(':07.5\n', '1\n')
(':07.5\n', '1\n')
(':07.5\n', '1\n')
('11:12\n', '2\n')
('11:11\n', '2\n')
('11:10\n', '2\n')
('11:09\n', '2\n')
('11:08\n', '2\n')
('11:07\n', '2\n')
('11:06\n', '2\n')
('8:07\n', '2\n')
('8:06\n', '2\n')
('8:05\n', '2\n')
('8:04\n', '2\n')
('8:03\n', '2\n')
('8:02\n', '2\n')
('8:01\n', '2\n')
('7:13\n', '2\n')
('7:12\n', '2\n')
('7:11\n', '2\n')
('7:10\n', '2\n')
('7:09\n', '2\n')
('7:08\n', '2\n')
('2:06\n', '2\n')
('2:05\n', '2\n')
('2:04\n', '2\n')
('2:03\n', '2\n')
('2:02\n', '2\n')
('2:01\n', '2\n')
(':09.6\n', '2\n')
(':08.6\n', '2\n')
(':07.6\n', '2\n')
(':06.6\n', '2\n')
(':05.7\n', '2\n')
('10:51\n', '3\n')
('10:50\n', '3\n')
('10:49\n', '3\n')
('10:48\n', '3\n')
('8:57\n', '3\n')
('8:56\n', '3\n')
('8:55\n', '3\n')
('8:54\n', '3\n')
('8:53\n', '3\n')
('8:52\n', '3\n')
('5:15\n', '3\n')
('5:14\n', '3\n')
('5:13\n', '3\n')
('5:12\n', '3\n')
('5:11\n', '3\n')
('5:10\n', '3\n')
('50.4\n', '3\n')
(':49.5\n', '3\n')
('48.5\n', '3\n')
('47.5\n', '3\n')
('46.6\n', '3\n')
('46.6\n', '3\n')
('46.6\n', '3\n')
('146.6\n', '3\n')
('8:25\n', '4\n')
('8:24\n', '4\n')
('8:23\n', '4\n')
('8:22\n', '4\n')
('8:21\n', '4\n')
('5:01\n', '4\n')
('5:00\n', '4\n')
('4:59\n', '4\n')
('4:58\n', '4\n')
('4:57\n', '4\n')
('4:56\n', '4\n')
('2:07\n', '4\n')
('2:06\n', '4\n')
('2:05\n', '4\n')
('2:04\n', '4\n')
('2:03\n', '4\n')
('2:02\n', '4\n')
('1:25\n', '4\n')
('1:24\n', '4\n')
('1:23\n', '4\n')
('1:22\n', '4\n')
('1:21\n', '4\n')
('1:20\n', '4\n')
('1:19\n', '4\n')
(':37.4\n', '4\n')
('36.4\n', '4\n')
(':35.4\n', '4\n')
('34.4\n', '4\n')
(':33.6\n', '4\n')
