('10:35\n', '1\n')
('10:34\n', '1\n')
('10:33\n', '11\n')
('10:32\n', '1\n')
('10:31\n', '1\n')
('1\n', '1\n')
('7:04\n', '1\n')
('7:03\n', '1\n')
('7:02\n', '1\n')
('7:01\n', '1\n')
('7:00\n', '1\n')
('6:59\n', '1\n')
('6:58\n', '1\n')
('6:57\n', '1\n')
('1\n', '1\n')
('2:36\n', '1\n')
('2:35\n', '1\n')
('2:34\n', '1\n')
('2:33\n', '1\n')
('2:32\n', '1\n')
('2:31\n', '1\n')
('2:30\n', '1\n')
('11:12\n', '2\n')
('11:11\n', '2\n')
('11:10\n', '2\n')
('11:09\n', '2\n')
('11:08\n', '2\n')
('11:07\n', '2\n')
('11:06\n', '2\n')
('10:05\n', '2\n')
('10:04\n', '2\n')
('10:03\n', '2\n')
('10:02\n', '2\n')
('10:01\n', '2\n')
('10:00\n', '2\n')
('5:54\n', '2\n')
('5:53\n', '2\n')
('5:52\n', '2\n')
('5:51\n', '2\n')
('5:50\n', '2\n')
('5:49\n', '2\n')
('2:03\n', '2\n')
('2:02\n', '2\n')
('2:01\n', '2\n')
('2:00\n', '2\n')
('1:59\n', '2\n')
('1:59\n', '2\n')
('1:57\n', '2\n')
('1:56\n', '2\n')
('11:42\n', '3\n')
('11:40\n', '3\n')
('11:39\n', '3\n')
('11:38\n', '3\n')
('11:37\n', '3\n')
('11:36\n', '3\n')
('7:34\n', '3\n')
('7:33\n', '3\n')
('7:32\n', '3\n')
('7:31\n', '3\n')
('7:30\n', '3\n')
('37.9\n', '3\n')
('36.9\n', '3\n')
('35.9\n', '3\n')
('349\n', '3\n')
('34.4\n', '3\n')
