('..\n', 'A\n')
('9:55\n', 'FIRST QUARTER\n')
('9:54\n', 'FIRST QUARTER\n')
('9:53\n', 'FIRST QUARTER\n')
('9:52\n', 'FIRST QUARTER\n')
('9:52\n', 'FIRST QUARTER\n')
('9:52\n', 'FIRST QUARTER\n')
('9:01\n', 'FIRST QUARTER\n')
('9:00\n', 'FIRST QUARTER\n')
('8:59\n', 'FIRST QUARTER\n')
('8:58\n', 'FIRST QUARTER\n')
('8:57\n', 'FIRST QUARTER\n')
('8:56\n', 'FIRST QUARTER\n')
('7:04\n', 'FIRST QUARTER\n')
('7:03\n', 'FIRST QUARTER\n')
('7:02\n', 'FIRST QUARTER\n')
('7:01\n', 'FIRST QUARTER\n')
('7:00\n', 'FIRST QUARTER\n')
('5:10\n', 'FIRST QUARTER\n')
('5:09\n', 'FIRST QUARTER\n')
('5:08\n', 'FIRST QUARTER\n')
('5:07\n', 'FIRST QUARTER\n')
('5:06\n', 'FIRST QUARTER\n')
('7:40\n', 'SECOND QUARTER\n')
('7:39\n', 'SECOND QUARTER\n')
('7:38\n', 'SECOND QUARTER\n')
('7:37\n', 'SECOND QUARTER\n')
('7:36\n', 'SECOND QUARTER\n')
('2:88\n', 'SECOND QUARTER\n')
('3:39\n', 'SECOND QUARTER\n')
('3:38\n', 'SECOND QUARTER\n')
('3:37\n', 'SECOND QUARTER\n')
('3:36\n', 'SECOND QUARTER\n')
('2:40\n', 'SECOND QUARTER\n')
('2:39\n', 'SECOND QUARTER\n')
('2:38\n', 'SECOND QUARTER\n')
('2:37\n', 'SECOND QUARTER\n')
('2:36\n', 'SECOND QUARTER\n')
('2:35\n', 'SECOND QUARTER\n')
('2:34\n', 'SECOND QUARTER\n')
('2:33\n', 'SECOND QUARTER\n')
('2:32\n', 'SECOND QUARTER\n')
('10:58\n', 'THIRD QUARTER\n')
('10:57\n', 'THIRD QUARTER\n')
('10:56\n', 'THIRD QUARTER\n')
('10:55\n', 'THIRD QUARTER\n')
('10:54\n', 'THIRD QUARTER\n')
('7:58\n', 'THIRD QUARTER\n')
('7:57\n', 'THIRD QUARTER\n')
('7:56\n', 'THIRD QUARTER\n')
('7:55\n', 'THIRD QUARTER\n')
('7:54\n', 'THIRD QUARTER\n')
('7:53\n', 'THIRD QUARTER\n')
('7:52\n', 'THIRD QUARTER\n')
('6:12\n', 'THIRD QUARTER\n')
('6:11\n', 'THIRD QUARTER\n')
('6:10\n', 'THIRD QUARTER\n')
('6:09\n', 'THIRD QUARTER\n')
('6:08\n', 'THIRD QUARTER\n')
('6:07\n', 'THIRD QUARTER\n')
('5:20\n', 'THIRD QUARTER\n')
('5:19\n', 'THIRD QUARTER\n')
('5:18\n', 'THIRD QUARTER\n')
('5:17\n', 'THIRD QUARTER\n')
('5:16\n', 'THIRD QUARTER\n')
('4:39\n', 'THIRD QUARTER\n')
('4:38\n', 'THIRD QUARTER\n')
('4.37\n', 'THIRD QUARTER\n')
('4:36\n', 'THIRD QUARTER\n')
('4:35\n', 'THIRD QUARTER\n')
('4.34\n', 'THIRD QUARTER\n')
('1:38\n', 'THIRD QUARTER\n')
('1:37\n', 'THIRD QUARTER\n')
('1:36\n', 'THIRD QUARTER\n')
('1:35\n', 'THIRD QUARTER\n')
('1:34\n', 'THIRD QUARTER\n')
('1:18\n', 'THIRD QUARTER\n')
('1:18\n', 'THIRD QUARTER\n')
('1:17\n', 'THIRD QUARTER\n')
('1:16\n', 'THIRD QUARTER\n')
('1:15\n', 'THIRD QUARTER\n')
('.7\n', 'THIRD QUARTER\n')
('21.7\n', 'THIRD QUARTER\n')
('20.8\n', 'THIRD QUARTER\n')
('19.8\n', 'THIRD QUARTER\n')
('18.8\n', 'THIRD QUARTER\n')
('18\n', 'THIRD QUARTER\n')
('7:47\n', 'FEERIIEQORRTRR\n')
('7:46\n', 'FOURTH QUARTER\n')
('7:45\n', 'FOURTH QUARTER\n')
('7:44\n', 'FOURTH QUARTER\n')
('7:43\n', 'FOURTH QUARTER\n')
('7:43\n', 'FOURTH QUARTER\n')
('7:42\n', 'FOURTH QUARTER\n')
('7:41\n', 'FOURTH QUARTER\n')
('7:41\n', 'FOURTH QUARTER\n')
('7:41\n', 'FOURTH QUARTER\n')
