('7:48\n', '1\n')
('7:47\n', '1\n')
('7:46\n', '1\n')
('7:45\n', '1\n')
('7:44\n', '1\n')
('7:43\n', '1\n')
('6:17\n', '1\n')
('6:16\n', '1\n')
('6:15\n', '1\n')
('6:14\n', '1\n')
('6:13\n', '1\n')
('3:42\n', '1\n')
('3:41\n', '1\n')
('3:40\n', '1\n')
('3:39\n', '1\n')
('3:38\n', '1\n')
('3:37\n', '1\n')
(':29.8\n', '1\n')
('.28.9\n', '1\n')
(':27.7\n', '1\n')
(':27.1\n', '1\n')
('5:57\n', '2\n')
('5:56\n', '2\n')
('5:55\n', '2\n')
('5:54\n', '2\n')
('5:53\n', '2\n')
('5:52\n', '2\n')
('3:00\n', '2\n')
(':2:59\n', '2\n')
(':2:58\n', '2\n')
(':2:57\n', '2\n')
(':2:56\n', '2\n')
(':2:55\n', '2\n')
(':2:55\n', '2\n')
(':2:55\n', '2\n')
(':2:55\n', '2\n')
('9:52\n', '3\n')
('9:51\n', '3\n')
('9:50\n', '3\n')
('9:49\n', '3\n')
('9:48\n', '3\n')
('9:47\n', '3\n')
('6:36\n', '3\n')
('6:35\n', '3\n')
('6:34\n', '3\n')
('6:33\n', '3\n')
('6:33\n', '3\n')
('6:33\n', '3\n')
('6:33\n', '3\n')
('6:33\n', '3\n')
(':34.3\n', '3\n')
('34.3\n', '3\n')
(':34.3\n', '3\n')
('9:40\n', '4\n')
('9:39\n', '4\n')
('9:38\n', '4\n')
('9:37\n', '4\n')
('9:36\n', '4\n')
('9:35\n', '4\n')
('4:12\n', '4\n')
('4:12\n', '4\n')
('4:12\n', '4\n')
('4:12\n', '4\n')
('4:12\n', '4\n')
('4:04\n', '4\n')
('4:04\n', '4\n')
('2:51\n', '4\n')
('2:50\n', '4\n')
('2:49\n', '4\n')
('2:48\n', '4\n')
('2:47\n', '4\n')
('2:46\n', '4\n')
('2:45\n', '4\n')
