('11:46\n', '1\n')
('11:45\n', '1\n')
('11:44\n', '1\n')
('11:43\n', '1\n')
('11:42\n', '1\n')
('11:41\n', '1\n')
('3:22\n', '1\n')
('3:21\n', '1\n')
('3:20\n', '1\n')
('3:19\n', '1\n')
('3:18\n', '1\n')
('11:14\n', '2\n')
('11:13\n', '2\n')
('11:12\n', '2\n')
('11:11\n', '2\n')
('11:10\n', '2\n')
('11:09\n', '2\n')
('11:08\n', '2\n')
('11:07\n', '2\n')
('7:05\n', '2\n')
('7:04\n', '2\n')
('7:03\n', '2\n')
('7:02\n', '2\n')
('7:01\n', '2\n')
('7:00\n', '2\n')
('6:59\n', '2\n')
('6:58\n', '2\n')
('6:57\n', '2\n')
('6:53\n', '2\n')
('6:52\n', '2\n')
('41.4\n', '2\n')
('40.49\n', '2\n')
('39.49\n', '2\n')
('38.5\n', '2\n')
('37.5\n', '2\n')
('36.5\n', '2\n')
('35.8\n', '2\n')
('35.8\n', '2\n')
('35.8\n', '2\n')
('9:08\n', '3\n')
('9:07\n', '3\n')
('9:06\n', '3\n')
('9:05\n', '3\n')
('9:04\n', '3\n')
('9:03\n', '3\n')
('6:49\n', '3\n')
('6:48\n', '3\n')
('6:47\n', '3\n')
('6:46\n', '3\n')
('6:45\n', '3\n')
('6:44\n', '3\n')
('6:43\n', '3\n')
('6:00\n', '3\n')
('5:59\n', '3\n')
('5:58\n', '3\n')
('5:57\n', '3\n')
('5:56\n', '3\n')
('5:55\n', '3\n')
('5:54\n', '3\n')
('5:53\n', '3\n')
('5:52\n', '3\n')
('1:00\n', '3\n')
('59.8\n', '3\n')
('58.9\n', '3\n')
('57.9\n', '3\n')
('56.9\n', '3\n')
('56.5\n', '3\n')
('8:47\n', '4\n')
('8:46\n', '4\n')
('8:45\n', '4\n')
('8:49\n', '4\n')
('7:05\n', '4\n')
('7:04\n', '4\n')
('7:03\n', '4\n')
('7:02\n', '4\n')
('7:01\n', '4\n')
('7:00\n', '4\n')
('5:23\n', '4\n')
('5:22\n', '4\n')
('5:21\n', '4\n')
('5:20\n', '4\n')
('5:19\n', '4\n')
('5:18\n', '4\n')
('3:17\n', '4\n')
('3:16\n', '4\n')
('3:15\n', '4\n')
('3:14\n', '4\n')
('3:10\n', '4\n')
('3:09\n', '4\n')
('3:08\n', '4\n')
('2:42\n', '4\n')
('2:91\n', '4\n')
('2:90\n', '4\n')
('2:39\n', '4\n')
('2:38\n', '4\n')
('2:37\n', '4\n')
('1:39\n', '4\n')
('1:28\n', '4\n')
('1:27\n', '4\n')
('1:26\n', '4\n')
('1:25\n', '4\n')
('1:25\n', '4\n')
('34.49\n', '4\n')
('33.9\n', '4\n')
('32.5\n', '4\n')
('31.5\n', '4\n')
('31.3\n', '4\n')
('31.3\n', '4\n')
('31.3\n', '4\n')
('31.3\n', '4\n')
('31.3\n', '4\n')
