('8:44\n', '1\n')
('8:43\n', '1\n')
('8:42\n', '1\n')
('8:41\n', '1\n')
('8:40\n', '1\n')
('8:39\n', '1\n')
('8:36\n', '1\n')
('8:35\n', '1\n')
('4:53\n', '1\n')
('4:52\n', '1\n')
('4:51\n', '1\n')
('4:50\n', '1\n')
('4:49\n', '1\n')
('4:47\n', '1\n')
('4:46\n', '1\n')
('3:00\n', '1\n')
('2:59\n', '1\n')
('2:58\n', '1\n')
('2:57\n', '1\n')
('2:56\n', '1\n')
('2:55\n', '1\n')
('2:53\n', '1\n')
('2:52\n', '1\n')
('8:10\n', '2\n')
('8:10\n', '2\n')
('8:07\n', '2\n')
('8:07\n', '2\n')
('8:07\n', '2\n')
('4:19\n', '2\n')
('4:18\n', '2\n')
('4:17\n', '2\n')
('4:16\n', '2\n')
('4:15\n', '2\n')
('4:15\n', '2\n')
('3:33\n', '2\n')
('3:32\n', '2\n')
('3:31\n', '2\n')
('3:30\n', '2\n')
('3:29\n', '2\n')
('3:26\n', '2\n')
('3:25\n', '2\n')
('3:17\n', '2\n')
('3:16\n', '2\n')
('3:15\n', '2\n')
('3:14\n', '2\n')
('3:13\n', '2\n')
('3:02\n', '2\n')
('3:02\n', '2\n')
('7:30\n', '3\n')
('7:29\n', '3\n')
('7:28\n', '3\n')
('71:27\n', '3\n')
('7:26\n', '3\n')
('71:25\n', '3\n')
('1:24\n', '3\n')
('4:02\n', '3\n')
('4:01\n', '3\n')
('4:00\n', '3\n')
('3:59\n', '3\n')
('3:58\n', '3\n')
('3:54\n', '3\n')
('3:53\n', '3\n')
('3:52\n', '3\n')
('2:50\n', '3\n')
('2:49\n', '3\n')
('2:48\n', '3\n')
('2:47\n', '3\n')
('2:46\n', '3\n')
(':02\n', '3\n')
(':02\n', '3\n')
(':01\n', '3\n')
(':00\n', '3\n')
(':00\n', '3\n')
('7:29\n', '4\n')
('7:28\n', '4\n')
('1:27\n', '4\n')
('7:26\n', '4\n')
('71:25\n', '4\n')
('7:24\n', '4\n')
('71:21\n', '4\n')
('7:20\n', '4\n')
('4:31\n', '4\n')
('4:30\n', '4\n')
('4:29\n', '4\n')
('4:28\n', '4\n')
('4:27\n', '4\n')
('4:26\n', '4\n')
('1:41\n', '4\n')
('1:40\n', '4\n')
('1:39\n', '4\n')
('1:38\n', '4\n')
('1:37\n', '4\n')
('1:36\n', '4\n')
('1:35\n', '4\n')
('1:35\n', '4\n')
(':48.6\n', '4\n')
('47.6\n', '4\n')
(':46.7\n', '4\n')
(':45.7\n', '4\n')
(':45.1\n', '4\n')
(':45.1\n', '4\n')
