('7:05\n', '1\n')
('7:04\n', '1\n')
('7:03\n', '1\n')
('7:02\n', '1\n')
('2:67\n', '1\n')
('3:54\n', '1\n')
('3:53\n', '1\n')
('3:52\n', '1\n')
('351\n', '1\n')
('3:50\n', '1\n')
('3:49\n', '1\n')
('1:30\n', '1\n')
('1:29\n', '1\n')
('1:28\n', '1\n')
('1:27\n', '1\n')
('1:26\n', '1\n')
('1.25\n', '1\n')
('1:22\n', '1\n')
('6:22\n', '2\n')
('6:21\n', '2\n')
('6:20\n', '2\n')
('6:19\n', '2\n')
('6:18\n', '2\n')
('6:17\n', '2\n')
('6:17\n', '2\n')
('6:16\n', '2\n')
('6:15\n', '2\n')
('6:14\n', '2\n')
('6:13\n', '2\n')
(':36.8\n', '2\n')
(':35.8\n', '2\n')
(':34.8\n', '2\n')
(':33.8\n', '2\n')
('32.8\n', '2\n')
(':31.8\n', '2\n')
(':30.9\n', '2\n')
('30.1\n', '2\n')
('30.1\n', '2\n')
('7:55\n', '3\n')
('7:54\n', '3\n')
('7:53\n', '3\n')
('7.52\n', '3\n')
('751\n', '3\n')
('7:50\n', '3\n')
('6:27\n', '3\n')
('6:26\n', '3\n')
('6:25\n', '3\n')
('6:24\n', '3\n')
('6:23\n', '3\n')
('3:15\n', '3\n')
('3:15\n', '3\n')
('3:14\n', '3\n')
('3:13\n', '3\n')
('3:12\n', '3\n')
('39\n', '3\n')
('54.5\n', '3\n')
('53.5\n', '3\n')
('52.6\n', '3\n')
('51.5\n', '3\n')
(':08.2\n', '3\n')
('07.2\n', '3\n')
(':06.2\n', '3\n')
(':05.2\n', '3\n')
(':04.2\n', '3\n')
(':03.2\n', '3\n')
('02.3\n', '3\n')
('01.3\n', '3\n')
(':00.5\n', '3\n')
(':00.5\n', '3\n')
('00.5\n', '3\n')
(':00.0\n', '3\n')
('9:44\n', '4\n')
('9:43\n', '4\n')
('9:42\n', '4\n')
('9:41\n', '4\n')
('9:40\n', '4\n')
('9:39\n', '4\n')
('9:38\n', '4\n')
('9:37\n', '4\n')
('9:36\n', '4\n')
('4:48\n', '4\n')
('4:47\n', '4\n')
('4:46\n', '4\n')
('4:45\n', '4\n')
('4:44\n', '4\n')
('4:43\n', '4\n')
('4:42\n', '4\n')
('4:39\n', '4\n')
('439\n', '4\n')
('4:39\n', '4\n')
('438\n', '41\n')
