('8:40\n', '1\n')
('8:39\n', '1\n')
('8:38\n', '1\n')
('8:37\n', '1\n')
('8:36\n', '1\n')
('8:35\n', '1\n')
('4:12\n', '1\n')
('4:11\n', '1\n')
('4:10\n', '1\n')
('4:09\n', '1\n')
('4:08\n', '1\n')
('4:07\n', '1\n')
('25.2\n', '1\n')
('24.2\n', '1\n')
('23.3\n', '1\n')
('22.3\n', '1\n')
('21.3\n', '1\n')
('20.3\n', '1\n')
('20.:\n', '1\n')
('20.:\n', '1\n')
('20.:\n', '1\n')
('8:30\n', '2\n')
('8:29\n', '2\n')
('8:28\n', '2\n')
('8:27\n', '2\n')
('8:26\n', '2\n')
('8:19\n', '2\n')
('8:18\n', '2\n')
('1:\n', '2\n')
('6:08\n', '2\n')
('6:07\n', '2\n')
('6:06\n', '2\n')
('6:05\n', '2\n')
('6:04\n', '2\n')
('6:03\n', '2\n')
('3:08\n', '2\n')
('3:07\n', '2\n')
('3:06\n', '2\n')
('3:05\n', '2\n')
('3:04\n', '2\n')
('39.8\n', '2\n')
('38.8\n', '2\n')
('37.8\n', '2\n')
('36.8\n', '2\n')
('35.8\n', '2\n')
('34.9\n', '2\n')
('10:52\n', '3\n')
('5\n', '3\n')
('10:50\n', '3\n')
('10:49\n', '3\n')
('10:48\n', '3\n')
('10:47\n', '3\n')
('5:54\n', '3\n')
('5:53\n', '3\n')
('5:52\n', '3\n')
('5:51\n', '3\n')
('5:50\n', '3\n')
('5:49\n', '3\n')
('5:48\n', '3\n')
('44:47\n', '3\n')
('4:46\n', '3\n')
('4:45\n', '3\n')
('4:44\n', '3\n')
('4:43\n', '3\n')
('4:42\n', '3\n')
('4:41\n', '3\n')
('4:40\n', '3\n')
('2:42\n', '3\n')
('2:41\n', '3\n')
('2:40\n', '3\n')
('2:39\n', '3\n')
('2:38\n', '3\n')
('2:37\n', '3\n')
('2:36\n', '3\n')
('1:25\n', '3\n')
('1:24\n', '3\n')
('1:23\n', '3\n')
('1:22\n', '3\n')
('1:21\n', '3\n')
('1:20\n', '3\n')
('7:12\n', '4\n')
('7:11\n', '4\n')
('7:10\n', '4\n')
('7:09\n', '4\n')
('7:08\n', '4\n')
('7:07\n', '4\n')
('3:34\n', '4\n')
('3:33\n', '4\n')
('3:32\n', '4\n')
('3:31\n', '4\n')
('3:30\n', '4\n')
('3:29\n', '4\n')
('3:28\n', '4\n')
('1:29\n', '4\n')
('1:28\n', '4\n')
('1:27\n', '4\n')
('1:26\n', '4\n')
('1:25\n', '4\n')
('1:24\n', '4\n')
('1:23\n', '4\n')
