('6:48\n', '1\n')
('6:47\n', '1\n')
('6:46\n', '1\n')
('6:45\n', '1\n')
('6:44\n', '1\n')
('6:43\n', '1\n')
('6:42\n', '1\n')
('6:41\n', '1\n')
('2:57\n', '1\n')
('2:56\n', '1\n')
('2:55\n', '1\n')
('2:54\n', '1\n')
('2:53\n', '1\n')
('2:52\n', '1\n')
('230\n', '1\n')
(':19.6\n', '1\n')
(':18.6\n', '1\n')
('171.7\n', '1\n')
(':16.7\n', '1\n')
('115.7\n', '1\n')
('114.7\n', '1\n')
(':14.0\n', '1\n')
('11:17\n', '2\n')
('11:16\n', '2\n')
('11:15\n', '2\n')
('11:14\n', '2\n')
('11:13\n', '2\n')
('11:12\n', '2\n')
('11:12\n', '2\n')
('11:12\n', '2\n')
('11:12\n', '2\n')
('8:05\n', '2\n')
('8:04\n', '2\n')
('8:03\n', '2\n')
('8:02\n', '2\n')
('8:01\n', '2\n')
('7:59\n', '2\n')
('7:58\n', '2\n')
('4:35\n', '2\n')
('4:34\n', '2\n')
('4:33\n', '2\n')
('4:32\n', '2\n')
('4:31\n', '2\n')
('4:30\n', '2\n')
('4:27\n', '2\n')
('4:26\n', '2\n')
('4:25\n', '2\n')
(':07.1\n', '2\n')
(':06.1\n', '2\n')
(':05.1\n', '2\n')
(':04.1\n', '2\n')
(':03.2\n', '2\n')
(':02.2\n', '2\n')
(':01.3\n', '2\n')
('1:21\n', '3\n')
('1:20\n', '3\n')
('7:19\n', '3\n')
('7:19\n', '3\n')
('7:18\n', '3\n')
('1:17\n', '3\n')
('7:16\n', '3\n')
('7:13\n', '3\n')
('7:12\n', '3\n')
('7:11\n', '3\n')
('5:34\n', '3\n')
('5:33\n', '3\n')
('5:32\n', '3\n')
('5:31\n', '3\n')
('5:30\n', '3\n')
('5:29\n', '3\n')
('5:28\n', '3\n')
('5:23\n', '3\n')
('5:22\n', '3\n')
('6:29\n', '4\n')
('6:28\n', '4\n')
('6:27\n', '4\n')
('6:26\n', '4\n')
('6:25\n', '4\n')
('6:24\n', '4\n')
('6:23\n', '4\n')
('4:19\n', '4\n')
('4:18\n', '4\n')
('4:17\n', '4\n')
('4:16\n', '4\n')
('4:15\n', '4\n')
('4:14\n', '4\n')
('4:13\n', '4\n')
('4:10\n', '4\n')
('4:09\n', '4\n')
('4:08\n', '4\n')
('3:24\n', '4\n')
('3:23\n', '4\n')
('3:22\n', '4\n')
('3:21\n', '4\n')
('3:20\n', '4\n')
('3:20\n', '4\n')
('3:20\n', '4\n')
('3:20\n', '4\n')
('3:20\n', '4\n')
(':37.2\n', '4\n')
(':36.3\n', '4\n')
(':35.3\n', '4\n')
(':34.3\n', '4\n')
(':33.3\n', '4\n')
('32.3\n', '4\n')
('31.3\n', '4\n')
(':30.4\n', '4\n')
(':29.9\n', '4\n')
('29.9\n', '4\n')
(':29.9\n', '4\n')
(':29.9\n', '4\n')
('29.9\n', '4\n')
