('7:45\n', '1\n')
('7:44\n', '1\n')
('7:43\n', '1\n')
('7:42\n', '1\n')
('7:41\n', '1\n')
('6:34\n', '11\n')
('6:33\n', '1\n')
('6:32\n', '1\n')
('6:31\n', '1\n')
('6:30\n', '1\n')
('6:29\n', '1\n')
('6:28\n', '1\n')
('6:26\n', '1\n')
('6:08\n', '1\n')
('6:07\n', '1\n')
('6:05\n', '1\n')
('6:04\n', '1\n')
('6:03\n', '1\n')
('6:02\n', '11\n')
('6:01\n', '1\n')
('10:19\n', '2\n')
('10:18\n', '2\n')
('10:17\n', '2\n')
('10:16\n', '2\n')
('10:15\n', '2\n')
('10:14\n', '2\n')
('10:13\n', '2\n')
('10:12\n', '2\n')
('10:11\n', '2\n')
('9:59\n', '2\n')
('9:58\n', '2\n')
('9:57\n', '2\n')
('9:56\n', '2\n')
('9:55\n', '2\n')
('9:55\n', '2\n')
('9:55\n', '2\n')
('7:34\n', '2\n')
('7:33\n', '2\n')
('7:32\n', '2\n')
('7:31\n', '2\n')
('7:30\n', '2\n')
('7:29\n', '2\n')
('7:27\n', '2\n')
('7:03\n', '2\n')
('7:02\n', '2\n')
('7:01\n', '2\n')
('7:00\n', '2\n')
('6:59\n', '2\n')
('6:58\n', '2\n')
('6:54\n', '2\n')
('4:07\n', '2\n')
('4:07\n', '2\n')
('4:06\n', '2\n')
('4:05\n', '2\n')
('4:04\n', '2\n')
('10:48\n', '3\n')
('10:47\n', '3\n')
('10:46\n', '3\n')
('10:45\n', '3\n')
('10:44\n', '3\n')
('10:43\n', '3\n')
('10:42\n', '3\n')
('10:41\n', '3\n')
('10:40\n', '3\n')
('10:39\n', '3\n')
('7:38\n', '3\n')
('7:37\n', '3\n')
('7:36\n', '3\n')
('7:35\n', '3\n')
('7:34\n', '3\n')
('7:33\n', '3\n')
('7:33\n', '3\n')
('5:04\n', '3\n')
('5:03\n', '3\n')
('5:02\n', '3\n')
('5:01\n', '3\n')
('5:00\n', '3\n')
('4:59\n', '3\n')
('4:56\n', '3\n')
('4:55\n', '3\n')
('10:57\n', '4\n')
('10:56\n', '4\n')
('10:55\n', '4\n')
('10:54\n', '4\n')
('10:53\n', '4\n')
('10:52\n', '4\n')
('9:38\n', '4\n')
('9:37\n', '4\n')
('9:36\n', '4\n')
('9:35\n', '4\n')
('9:34\n', '4\n')
('9:33\n', '4\n')
('9:32\n', '4\n')
('9:31\n', '4\n')
('9:30\n', '4\n')
('9:29\n', '4\n')
('7:01\n', '4\n')
('7:00\n', '4\n')
('6:59\n', '4\n')
('6:58\n', '4\n')
('6:57\n', '4\n')
('6:56\n', '4\n')
('6:55\n', '4\n')
('6:35\n', '4\n')
('4:33\n', '4\n')
('4:32\n', '4\n')
('4:31\n', '41\n')
('4:30\n', '4\n')
('4:29\n', '4\n')
('4:28\n', '4\n')
('4:27\n', '4\n')
('4:26\n', '4\n')
('4:26\n', '4\n')
('4:25\n', '41\n')
('4:25\n', '4\n')
