('8:31\n', '1\n')
('8:30\n', '1\n')
('8:29\n', '1\n')
('8:28\n', '1\n')
('8:27\n', '1\n')
('8:26\n', '1\n')
('8:25\n', '1\n')
('8:24\n', '1\n')
('8:23\n', '1\n')
('8:22\n', '1\n')
('8:21\n', '1\n')
('8:21\n', '1\n')
('41.2\n', '1\n')
('40.2\n', '1\n')
(':39.3\n', '1\n')
(':39.3\n', '1\n')
(':39.3\n', '1\n')
(':38.8\n', '1\n')
('8:05\n', '2\n')
('8:04\n', '2\n')
('8:03\n', '2\n')
('8:02\n', '2\n')
('8:01\n', '2\n')
('7:59\n', '2\n')
('7:58\n', '2\n')
('6:39\n', '2\n')
('6:38\n', '2\n')
('6:37\n', '2\n')
('6:36\n', '2\n')
('6:35\n', '2\n')
('6:34\n', '2\n')
('6:33\n', '2\n')
('6:32\n', '2\n')
('6:31\n', '2\n')
('0:05\n', '2\n')
('0:04\n', '2\n')
('0:03\n', '2\n')
('0:02\n', '2\n')
('0:01\n', '2\n')
('0:00\n', '2\n')
('5:49\n', '3\n')
('5:48\n', '3\n')
('5:47\n', '3\n')
('5:46\n', '3\n')
('5:45\n', '3\n')
('5:44\n', '3\n')
('5:43\n', '3\n')
('5:42\n', '3\n')
('4:48\n', '3\n')
('4:47\n', '3\n')
('4:46\n', '3\n')
('4:45\n', '3\n')
('4:44\n', '3\n')
('4:43\n', '3\n')
('4:42\n', '3\n')
('4:41\n', '3\n')
('4:37\n', '3\n')
('4:36\n', '3\n')
(':30.3\n', '3\n')
('29.3\n', '3\n')
('28.3\n', '3\n')
('271.3\n', '3\n')
(':26.6\n', '3\n')
(':26.6\n', '3\n')
('26.6\n', '3\n')
('26.6\n', '3\n')
('11:04\n', '4\n')
('11:03\n', '4\n')
('11:02\n', '4\n')
('11:01\n', '4\n')
('11:00\n', '4\n')
('10:59\n', '4\n')
('10:58\n', '4\n')
('10:57\n', '4\n')
('10:56\n', '4\n')
('10:55\n', '4\n')
('10:54\n', '4\n')
('10:04\n', '4\n')
('10:03\n', '4\n')
('10:02\n', '4\n')
('10:01\n', '4\n')
('10:00\n', '4\n')
('9:59\n', '4\n')
('9:58\n', '4\n')
('9:57\n', '4\n')
('9:56\n', '4\n')
('9:55\n', '4\n')
('9:54\n', '4\n')
('9:53\n', '4\n')
('6:53\n', '4\n')
('6:52\n', '4\n')
('6:51\n', '4\n')
('6:50\n', '4\n')
('6:49\n', '4\n')
('6:48\n', '4\n')
('6:47\n', '4\n')
