('4:46\n', '1\n')
('4:45\n', '11\n')
('4:44\n', '1\n')
('4:43\n', '1\n')
('4:42\n', '1\n')
('4:41\n', '1\n')
('4:40\n', '1\n')
('1:41\n', '1\n')
('1:40\n', '1\n')
('1:39\n', '1\n')
('1:38\n', '1\n')
('1:37\n', '1\n')
('1:36\n', '1\n')
('1:35\n', '1\n')
('10:30\n', '2\n')
('10:29\n', '2\n')
('10:28\n', '2\n')
('10:27\n', '2\n')
('10:26\n', '2\n')
('10:26\n', '2\n')
('10:26\n', '2\n')
('8:57\n', '2\n')
('8:56\n', '2\n')
('8:55\n', '2\n')
('8:54\n', '2\n')
('8:53\n', '2\n')
('8:52\n', '2\n')
('5:11\n', '2\n')
('5:10\n', '2\n')
('5:09\n', '2\n')
('5:08\n', '2\n')
('5:07\n', '2\n')
('5:06\n', '2\n')
('5:05\n', '2\n')
('2:01\n', '2\n')
('2:00\n', '2\n')
('1:59\n', '2\n')
('1:58\n', '2\n')
('1:57\n', '2\n')
('1:56\n', '2\n')
('1:53\n', '2\n')
('59.6\n', '2\n')
('58.6\n', '2\n')
('57.6\n', '2\n')
('56.6\n', '2\n')
('55.6\n', '2\n')
('54.6\n', '2\n')
('83.7\n', '2\n')
('83.6\n', '2\n')
('53.6\n', '2\n')
('7:46\n', '3\n')
('7:44\n', '3\n')
('7:43\n', '3\n')
('7:42\n', '3\n')
('7:41\n', '3\n')
('7:40\n', '3\n')
('3:00\n', '3\n')
('2:59\n', '3\n')
('2:58\n', '3\n')
('2:57\n', '3\n')
('2:56\n', '3\n')
('2:54\n', '3\n')
('2:53\n', '3\n')
('2:48\n', '3\n')
('2:47\n', '3\n')
('2:46\n', '3\n')
('2:45\n', '3\n')
('2:44\n', '3\n')
('2:43\n', '3\n')
('2:42\n', '3\n')
('2:39\n', '3\n')
('2:38\n', '3\n')
('10:53\n', '4\n')
('10:52\n', '4\n')
('10:51\n', '41\n')
('10:50\n', '41\n')
('10:49\n', '4\n')
('10:49\n', '4\n')
('10:49\n', '4\n')
('7:53\n', '4\n')
('7:52\n', '4\n')
('7:51\n', '4\n')
('7:50\n', '4\n')
('7:49\n', '4\n')
('7:48\n', '4\n')
('3:46\n', '4\n')
('3:45\n', '4\n')
('3:44\n', '4\n')
('3:43\n', '4\n')
('3:42\n', '4\n')
('3:41\n', '4\n')
('3:40\n', '4\n')
('2:46\n', '4\n')
('2:45\n', '41\n')
('2:44\n', '41\n')
('2:43\n', '4\n')
('2:42\n', '4\n')
