('5:48\n', '1\n')
('5:47\n', '1\n')
('5:46\n', '1\n')
('5:45\n', '1\n')
('5:44\n', '1\n')
('5:43\n', '1\n')
('3:56\n', '1\n')
('3:55\n', '1\n')
('3:54\n', '1\n')
('3:53\n', '1\n')
('3:52\n', '1\n')
('3:51\n', '1\n')
('3:48\n', '1\n')
('3:47\n', '1\n')
('51.9\n', '1\n')
(':50.9\n', '1\n')
('49.9\n', '1\n')
('149.0\n', '1\n')
('48.0\n', '1\n')
('47.0\n', '1\n')
('46.1\n', '1\n')
('145.2\n', '1\n')
('144.2\n', '11\n')
('4:35\n', '2\n')
('4:35\n', '2\n')
('4:34\n', '2\n')
('4:33\n', '2\n')
('4:32\n', '2\n')
('4:31\n', '2\n')
('4:30\n', '2\n')
('4:28\n', '2\n')
('3:21\n', '2\n')
('3:20\n', '2\n')
('3:19\n', '2\n')
('3:18\n', '2\n')
('3:17\n', '2\n')
('3:16\n', '2\n')
('3:15\n', '2\n')
('1:25\n', '2\n')
('1:24\n', '2\n')
('1:23\n', '2\n')
('1:22\n', '2\n')
('1:21\n', '2\n')
('1:20\n', '2\n')
('11:00\n', '3\n')
('10:59\n', '3\n')
('10:59\n', '3\n')
('10:58\n', '3\n')
('10:57\n', '3\n')
('10:56\n', '3\n')
('10:55\n', '3\n')
('10:50\n', '3\n')
('10:49\n', '3\n')
('8:47\n', '3\n')
('8:46\n', '3\n')
('8:45\n', '3\n')
('8:44\n', '3\n')
('8:43\n', '3\n')
('8:42\n', '3\n')
('5:40\n', '3\n')
('5:39\n', '3\n')
('5:38\n', '3\n')
('5:37\n', '3\n')
('5:36\n', '3\n')
('5:35\n', '3\n')
('4:53\n', '3\n')
('4:52\n', '3\n')
('4:51\n', '3\n')
('4:50\n', '3\n')
('4:49\n', '3\n')
('4:48\n', '3\n')
('4:47\n', '3\n')
('4:47\n', '3\n')
('4:47\n', '3\n')
('4:47\n', '3\n')
('4:47\n', '3\n')
('8:49\n', '4\n')
('8:48\n', '4\n')
('8:47\n', '4\n')
('8:46\n', '4\n')
('8:45\n', '4\n')
('8:44\n', '4\n')
('8:43\n', '4\n')
('8:42\n', '4\n')
('6:17\n', '4\n')
('6:16\n', '4\n')
('6:15\n', '4\n')
('6:14\n', '4\n')
('6:13\n', '4\n')
('6:12\n', '4\n')
('6:11\n', '4\n')
('6:10\n', '4\n')
('2:43\n', '4\n')
('2:42\n', '4\n')
('2:41\n', '4\n')
('2:40\n', '4\n')
('2:39\n', '4\n')
('2:38\n', '4\n')
('2:37\n', '4\n')
('2:32\n', '4\n')
('2:31\n', '4\n')
('1:15\n', '4\n')
('1:14\n', '4\n')
('1:13\n', '4\n')
('1:12\n', '4\n')
('1:11\n', '4\n')
('1:11\n', '4\n')
('1:11\n', '4\n')
('1:11\n', '4\n')
