('3:01\n', '1\n')
('3:00\n', '1\n')
('2:59\n', '1\n')
('2:58\n', '1\n')
('2:57\n', '1\n')
('2:57\n', '1\n')
('2:14\n', '1\n')
('2:13\n', '1\n')
('2:12\n', '1\n')
('2:11\n', '1\n')
('2:10\n', '1\n')
('2:09\n', '1\n')
('2:08\n', '1\n')
('1:33\n', '11\n')
('1:32\n', '1\n')
('1:31\n', '1\n')
('1:30\n', '1\n')
('1:29\n', '1\n')
('1:28\n', '1\n')
('1:22\n', '1\n')
('1:22\n', '11\n')
('10:34\n', '2\n')
('10:33\n', '2\n')
('10:32\n', '2\n')
('10:31\n', '2\n')
('10:30\n', '2\n')
('10:29\n', '2\n')
('10:28\n', '2\n')
('2:13\n', '2\n')
('2:12\n', '2\n')
('2:11\n', '2\n')
('2:11\n', '2\n')
('2:10\n', '2\n')
('2:09\n', '2\n')
('2:08\n', '2\n')
('9:13\n', '3\n')
('9:12\n', '3\n')
('9:12\n', '3\n')
('9:11\n', '3\n')
('9:11\n', '3\n')
('9:11\n', '3\n')
('7:29\n', '3\n')
('7:28\n', '3\n')
('1:27\n', '3\n')
('7:26\n', '3\n')
('1:25\n', '3\n')
('1:24\n', '3\n')
('11:02\n', '4\n')
('11:01\n', '4\n')
('11:00\n', '4\n')
('10:59\n', '4\n')
('10:58\n', '4\n')
('7:12\n', '4\n')
('71:11\n', '4\n')
('7:10\n', '4\n')
('7:09\n', '4\n')
('7:08\n', '4\n')
('1:07\n', '4\n')
('1:48\n', '4\n')
('1:47\n', '4\n')
('1:46\n', '4\n')
('1:45\n', '4\n')
('1:45\n', '4\n')
('1:45\n', '4\n')
('41.8\n', '4\n')
('140.9\n', '4\n')
(':39.9\n', '4\n')
(':38.9\n', '4\n')
('37.9\n', '4\n')
('37.9\n', '4\n')
(':37.9\n', '4\n')
(':37.9\n', '4\n')
(':37.9\n', '4\n')
(':09\n', '4\n')
(':08\n', '4\n')
(':07\n', '4\n')
(':06\n', '4\n')
(':05\n', '4\n')
(':04\n', '4\n')
(':03\n', '41\n')
(':02\n', '41\n')
(':01\n', '4\n')
(':01\n', '4\n')
(':01\n', '4\n')
(':01\n', '4\n')
(':01\n', '4\n')
(':01\n', '4\n')
(':00\n', '4\n')
(':00\n', '4\n')
(':00\n', '4\n')
(':00\n', '4\n')
(':00\n', '4\n')
(':00\n', '41\n')
(':00\n', '41\n')
(':00\n', '41\n')
