('10:56\n', '1\n')
('10:55\n', '1\n')
('10:54\n', '1\n')
('10:53\n', '1\n')
('10:52\n', '1\n')
('10:51\n', '1\n')
('9:52\n', '1\n')
('9:51\n', '1\n')
('9:50\n', '1\n')
('9:49\n', '1\n')
('9:48\n', '1\n')
('9:47\n', '11\n')
('93:47\n', '1\n')
('7:13\n', '1\n')
('7:12\n', '1\n')
('7:11\n', '1\n')
('7:10\n', '1\n')
('7:09\n', '1\n')
('2:29\n', '1\n')
('2:28\n', '1\n')
('2:27\n', '1\n')
('2:26\n', '1\n')
('1:54\n', '1\n')
('1:53\n', '1\n')
('1:52\n', '1\n')
('1:51\n', '1\n')
('1:50\n', '1\n')
('1:49\n', '1\n')
('39.8\n', '1\n')
('38.8\n', '1\n')
('37.8\n', '1\n')
('37.0\n', '1\n')
('9:22\n', '2\n')
('9:21\n', '2\n')
('9:20\n', '2\n')
('9:19\n', '2\n')
('9:18\n', '2\n')
('9:17\n', '2\n')
('9:16\n', '2\n')
('5:05\n', '2\n')
('5:09\n', '2\n')
('5:03\n', '2\n')
('5:02\n', '2\n')
('5:01\n', '2\n')
('5:00\n', '2\n')
('10:22\n', '3\n')
('10:21\n', '3\n')
('10:20\n', '3\n')
('10:19\n', '3\n')
('10:18\n', '3\n')
('10:17\n', '3\n')
('8:28\n', '3\n')
('8:27\n', '3\n')
('8:26\n', '3\n')
('8:25\n', '3\n')
('8:24\n', '3\n')
('8:22\n', '3\n')
('8:21\n', '3\n')
('4:10\n', '3\n')
('4:09\n', '3\n')
('4:08\n', '3\n')
('44:07\n', '3\n')
('4:06\n', '3\n')
('4:00\n', '3\n')
('4:00\n', '3\n')
('4:00\n', '3\n')
('14.4\n', '3\n')
('13.4\n', '3\n')
('12.49\n', '3\n')
('11.4\n', '3\n')
('10.4\n', '3\n')
('10.:\n', '3\n')
('8:38\n', '4\n')
('8:37\n', '4\n')
('8:36\n', '4\n')
('8:35\n', '4\n')
('8:33\n', '4\n')
('4:28\n', '4\n')
('44:27\n', '4\n')
('4:26\n', '4\n')
('4:24\n', '4\n')
('44:23\n', '4\n')
('1:21\n', '4\n')
('1:37\n', '4\n')
('1:35\n', '4\n')
('1:34\n', '4\n')
('1:16\n', '4\n')
('1:15\n', '4\n')
('1:14\n', '4\n')
('1:13\n', '4\n')
('1:11\n', '4\n')
