('1\n', '2\n')
('8:07\n', '1\n')
('8:06\n', '1\n')
('8:05\n', '11\n')
('8:04\n', '1\n')
('8:03\n', '11\n')
('8:02\n', '11\n')
('6:31\n', '1\n')
('6:30\n', '1\n')
('6:29\n', '1\n')
('6:28\n', '1\n')
('6:27\n', '11\n')
('6:27\n', '1\n')
('6:26\n', '1\n')
('5:54\n', '11\n')
('5:53\n', '1\n')
('5:52\n', '1\n')
('5:51\n', '11\n')
('5:50\n', '1\n')
('5:49\n', '11\n')
('5:48\n', '1\n')
('5:46\n', '1\n')
('5:45\n', '11\n')
('5:44\n', '1\n')
('3:42\n', '1\n')
('3:41\n', '1\n')
('3:40\n', '11\n')
('3:39\n', '1\n')
('3:38\n', '1\n')
('3:37\n', '11\n')
('23.1\n', '1\n')
('22.1\n', '1\n')
('21.1\n', '1\n')
('20.1\n', '1\n')
('11:04\n', '2\n')
('11:03\n', '2\n')
('11:02\n', '2\n')
('11:01\n', '2\n')
('11:01\n', '2\n')
('11:00\n', '2\n')
('11:00\n', '2\n')
('11:00\n', '2\n')
('11:00\n', '2\n')
('3:46\n', '2\n')
('3:45\n', '2\n')
('3:44\n', '2\n')
('3:43\n', '2\n')
('3:42\n', '2\n')
('3:41\n', '2\n')
('34.6\n', '2\n')
('33.6\n', '2\n')
('32.6\n', '2\n')
('31.7\n', '2\n')
('30.7\n', '2\n')
('29.9\n', '2\n')
('29.9\n', '2\n')
('4:23\n', '3\n')
('4:22\n', '3\n')
('4:21\n', '3\n')
('4:20\n', '3\n')
('4:19\n', '3\n')
('4:18\n', '3\n')
('3:17\n', '3\n')
('3:18\n', '3\n')
('3:17\n', '3\n')
('3:16\n', '3\n')
('3:15\n', '3\n')
('3:14\n', '3\n')
('11:41\n', '4\n')
('11:37\n', '4\n')
('9:45\n', '4\n')
('5:32\n', '4\n')
('5:30\n', '4\n')
('5:29\n', '4\n')
('4:44\n', '4\n')
('4:42\n', '4\n')
('4:41\n', '4\n')
('4:40\n', '4\n')
('3:25\n', '4\n')
('3:23\n', '4\n')
('3:22\n', '4\n')
('3:21\n', '4\n')
