('8:59\n', '1\n')
('8:58\n', '1\n')
('8:57\n', '1\n')
('8:56\n', '1\n')
('8:51\n', '1\n')
('8:50\n', '1\n')
('8:49\n', '1\n')
('8:48\n', '1\n')
('8:47\n', '1\n')
('8:46\n', '1\n')
('8:45\n', '1\n')
('8:44\n', '1\n')
('8:43\n', '1\n')
('6:07\n', '1\n')
('6:05\n', '1\n')
('6:04\n', '1\n')
('6:03\n', '1\n')
('6:02\n', '1\n')
('6:01\n', '1\n')
('3:12\n', '1\n')
('3:11\n', '1\n')
('3:10\n', '1\n')
('3:09\n', '1\n')
('3:08\n', '1\n')
('3:07\n', '1\n')
('3:05\n', '1\n')
('7:42\n', '2\n')
('71:41\n', '2\n')
('7:40\n', '2\n')
('7:39\n', '2\n')
('7:38\n', '2\n')
('7:37\n', '2\n')
('7:36\n', '2\n')
('7:35\n', '2\n')
('1:31\n', '2\n')
('1:36\n', '2\n')
('1:35\n', '2\n')
('1:34\n', '2\n')
('1:33\n', '2\n')
('1:32\n', '2\n')
('1:31\n', '2\n')
(':35.6\n', '2\n')
(':34.6\n', '2\n')
(':33.7\n', '2\n')
(':32.7\n', '2\n')
(':31.9\n', '2\n')
(':31.9\n', '2\n')
(':31.9\n', '2\n')
('31.9\n', '2\n')
('71:34\n', '3\n')
('7:33\n', '3\n')
('71:32\n', '3\n')
('7:31\n', '3\n')
('7:30\n', '3\n')
('7:29\n', '3\n')
('7:28\n', '3\n')
('1:27\n', '3\n')
('5:43\n', '3\n')
('5:42\n', '3\n')
('5:41\n', '3\n')
('5:40\n', '3\n')
('5:39\n', '3\n')
('5:38\n', '3\n')
('5:37\n', '3\n')
('41.7\n', '3\n')
('40.7\n', '3\n')
(':39.8\n', '3\n')
(':38.8\n', '3\n')
(':37.8\n', '3\n')
(':36.8\n', '3\n')
('36.7\n', '3\n')
('10:30\n', '4\n')
('10:29\n', '4\n')
('10:28\n', '4\n')
('10:27\n', '4\n')
('10:26\n', '4\n')
('10:25\n', '4\n')
('10:20\n', '4\n')
('10:19\n', '4\n')
('6:50\n', '4\n')
('6:49\n', '4\n')
('6:48\n', '4\n')
('6:47\n', '4\n')
('6:46\n', '4\n')
('6:45\n', '4\n')
('6:44\n', '4\n')
('4:19\n', '4\n')
('4:18\n', '4\n')
('4:17\n', '4\n')
('4:16\n', '4\n')
('4:16\n', '4\n')
('4:16\n', '4\n')
('4:16\n', '4\n')
('4:16\n', '4\n')
('4:16\n', '4\n')
('2:15\n', '4\n')
('2:14\n', '4\n')
('2:13\n', '4\n')
('2:12\n', '4\n')
('2:11\n', '4\n')
('2:10\n', '4\n')
('2:09\n', '4\n')
('2:08\n', '4\n')
('2:07\n', '4\n')
('2:06\n', '4\n')
('2:05\n', '4\n')
('2:05\n', '4\n')
('2:05\n', '4\n')
