('7:55\n', '11\n')
('7:54\n', '11\n')
('7:53\n', '1\n')
('7:52\n', '1\n')
('7:5\n', '1\n')
('7:50\n', '1\n')
('4:06\n', '1\n')
('4:05\n', '1\n')
('4:04\n', '1\n')
('4:03\n', '1\n')
('4:02\n', '1\n')
('4:01\n', '1\n')
('4:00\n', '1\n')
('4\n', '1\n')
('105.7\n', '1\n')
('104.7\n', '1\n')
('103.7\n', '1\n')
('102.7\n', '1\n')
('102.2\n', '1\n')
('11:27\n', '2\n')
('11:26\n', '2\n')
('11:25\n', '2\n')
('11:24\n', '2\n')
('11:23\n', '2\n')
('11:23\n', '2\n')
('11222\n', '2\n')
('8:50\n', '2\n')
('8:49\n', '2\n')
('8:48\n', '2\n')
('8:47\n', '2\n')
('8:46\n', '2\n')
('8:45\n', '2\n')
('8:44\n', '2\n')
('8:42\n', '2\n')
('2:49\n', '2\n')
('2:48\n', '2\n')
('2:47\n', '2\n')
('2:46\n', '2\n')
('2:45\n', '2\n')
('2:44\n', '2\n')
('2:43\n', '2\n')
('2:39\n', '2\n')
('1:16\n', '2\n')
('1:15\n', '2\n')
('1:14\n', '2\n')
('1:13\n', '2\n')
('1:12\n', '2\n')
('11:23\n', '3\n')
('11:22\n', '3\n')
('11:21\n', '3\n')
('11:20\n', '3\n')
('11:19\n', '3\n')
('7:35\n', '3\n')
('7:34\n', '3\n')
('7:33\n', '3\n')
('7:32\n', '3\n')
('7:31\n', '3\n')
('7:31\n', '3\n')
('1:58\n', '3\n')
('1:57\n', '3\n')
('1:56\n', '3\n')
('1:55\n', '3\n')
('1:54\n', '3\n')
('1:50\n', '3\n')
('1:49\n', '3\n')
('8:14\n', '41\n')
('8:13\n', '41\n')
('8:12\n', '41\n')
('8:11\n', '41\n')
('8:10\n', '41\n')
('8:09\n', '41\n')
('8:07\n', '41\n')
('6:54\n', '41\n')
('6:53\n', '4\n')
('6:52\n', '41\n')
('6:51\n', '41\n')
('6:50\n', '41\n')
('6:49\n', '4\n')
('5:49\n', '41\n')
('5:48\n', '41\n')
('5:47\n', '41\n')
('5:46\n', '41\n')
('5:45\n', '41\n')
('5:44\n', '41\n')
('3:37\n', '41\n')
('3:36\n', '41\n')
('3:35\n', '41\n')
('3:34\n', '41\n')
('3:33\n', '41\n')
('3:32\n', '41\n')
('2:33\n', '41\n')
('2:32\n', '41\n')
('2:31\n', '41\n')
('2:30\n', '4\n')
('2:29\n', '41\n')
('2:02\n', '41\n')
('2:01\n', '41\n')
('2:00\n', '41\n')
('1:59\n', '41\n')
('1:58\n', '41\n')
('1:58\n', '41\n')
('0\n', '41\n')
('1:05\n', '41\n')
('1:04\n', '41\n')
('1:03\n', '41\n')
('1:02\n', '41\n')
('1:01\n', '41\n')
('1:01\n', '41\n')
('1:01\n', '41\n')
('10.6\n', '41\n')
('210.4\n', '41\n')
(':09.4\n', '41\n')
(':09.3\n', '41\n')
(':09.3\n', '41\n')
(':09.3\n', '41\n')
('04.6\n', '41\n')
('04.6\n', '41\n')
('03.6\n', '4\n')
(':02.6\n', '41\n')
('01.6\n', '41\n')
('100.7\n', '41\n')
