('9:44\n', '2\n')
('9:43\n', '2\n')
('9:42\n', '2\n')
('9:41\n', '2\n')
('9:40\n', '2\n')
('9:39\n', '2\n')
('9:38\n', '2\n')
('6:06\n', '2\n')
('6:05\n', '2\n')
('6:04\n', '2\n')
('6:03\n', '2\n')
('6:02\n', '2\n')
('6:01\n', '2\n')
('4:42\n', '2\n')
('4:41\n', '2\n')
('4:40\n', '2\n')
('4:39\n', '2\n')
('4:38\n', '2\n')
('4:37\n', '2\n')
('4:36\n', '2\n')
('4:35\n', '2\n')
('4:34\n', '2\n')
(':20.8\n', '2\n')
(':19.8\n', '2\n')
(':18.8\n', '2\n')
(':17.8\n', '2\n')
(':17.6\n', '2\n')
('10:14\n', '3\n')
('10:13\n', '3\n')
('10:12\n', '3\n')
('10:11\n', '3\n')
('10:10\n', '3\n')
('10:09\n', '3\n')
('7:41\n', '3\n')
('7:40\n', '3\n')
('7:39\n', '3\n')
('7:38\n', '3\n')
('7:37\n', '3\n')
('7:36\n', '3\n')
('7:35\n', '3\n')
('7:33\n', '3\n')
('6:05\n', '3\n')
('6:04\n', '3\n')
('6:03\n', '3\n')
('6:02\n', '3\n')
('6:01\n', '3\n')
('6:00\n', '3\n')
('5:50\n', '3\n')
('1:22\n', '3\n')
('1:21\n', '3\n')
('1:20\n', '3\n')
('1:19\n', '3\n')
('1:18\n', '3\n')
('1:17\n', '3\n')
('1:16\n', '3\n')
('11:18\n', '4\n')
('11:17\n', '4\n')
('11:16\n', '4\n')
('11:15\n', '4\n')
('11:14\n', '4\n')
('10:08\n', '4\n')
('10:07\n', '4\n')
('10:06\n', '4\n')
('10:05\n', '4\n')
('10:04\n', '4\n')
('10:03\n', '4\n')
('10:00\n', '4\n')
('9:59\n', '4\n')
('3:40\n', '4\n')
('3:39\n', '4\n')
('3:38\n', '4\n')
('3:37\n', '4\n')
('3:36\n', '4\n')
('3:35\n', '4\n')
('3:34\n', '4\n')
('3:28\n', '4\n')
('3:27\n', '4\n')
('3:26\n', '4\n')
('3:25\n', '4\n')
('3:25\n', '4\n')
('3:24\n', '4\n')
('27.9\n', '4\n')
('26.9\n', '4\n')
('25.9\n', '4\n')
('25.0\n', '4\n')
('24.0\n', '4\n')
('23.3\n', '4\n')
('12.2\n', '4\n')
('11.2\n', '4\n')
('10.3\n', '4\n')
(':09.3\n', '4\n')
(':08.3\n', '4\n')
('07.7\n', '4\n')
('07.7\n', '4\n')
('07.7\n', '41\n')
(':05.3\n', '4\n')
(':04.3\n', '4\n')
('03.4\n', '4\n')
('02.4\n', '4\n')
('01.4\n', '4\n')
('004\n', '4\n')
(':00.0\n', '4\n')
(':00.0\n', '4\n')
