('8:17\n', '1\n')
('816\n', '1\n')
('8:15\n', '1\n')
('8:14\n', '1\n')
('813\n', '1\n')
('8:12\n', '1\n')
('811\n', '1\n')
('7:43\n', '1\n')
('7:42\n', '1\n')
('7:41\n', '1\n')
('7:40\n', '1\n')
('7:39\n', '1\n')
('7:38\n', '1\n')
('3:52\n', '1\n')
('3:51\n', '1\n')
('3:50\n', '1\n')
('3:49\n', '1\n')
('3:48\n', '1\n')
('1:52\n', '1\n')
('1:51\n', '1\n')
('1:50\n', '1\n')
('1:49\n', '1\n')
('1:48\n', '1\n')
('1:47\n', '1\n')
('1:46\n', '1\n')
('1:43\n', '1\n')
('1:43\n', '1\n')
('7:33\n', '2\n')
('7:32\n', '2\n')
('7:31\n', '2\n')
('7:30\n', '2\n')
('7:29\n', '2\n')
('7:28\n', '2\n')
('7:27\n', '2\n')
('2:14\n', '2\n')
('2:13\n', '2\n')
('2:12\n', '2\n')
('2:11\n', '2\n')
('2:10\n', '2\n')
('2:09\n', '2\n')
('06.3\n', '2\n')
(':05.8\n', '2\n')
(':04.8\n', '2\n')
(':03.8\n', '2\n')
(':02.8\n', '2\n')
(':02.0\n', '2\n')
('5:33\n', '3\n')
('5:32\n', '3\n')
('5:30\n', '3\n')
('5:29\n', '3\n')
('5.28\n', '3\n')
('3.03\n', '3\n')
('3:02\n', '3\n')
('3.01\n', '3\n')
('3:00\n', '3\n')
('2:59\n', '3\n')
('2:58\n', '3\n')
('1:25\n', '3\n')
('1:24\n', '3\n')
('1:23\n', '3\n')
('1:22\n', '3\n')
('1:21\n', '3\n')
('1:21\n', '3\n')
('1:21\n', '3\n')
('1:21\n', '3\n')
('1:21\n', '3\n')
('1:21\n', '3\n')
('5:28\n', '4\n')
('5:27\n', '4\n')
('5:26\n', '4\n')
('5:25\n', '4\n')
('5:24\n', '4\n')
('5:23\n', '4\n')
('5:22\n', '4\n')
('4:18\n', '4\n')
('4:17\n', '4\n')
('4:16\n', '4\n')
('4:15\n', '4\n')
('4:14\n', '4\n')
('4.13\n', '4\n')
('3:06\n', '4\n')
('3:05\n', '4\n')
('3:04\n', '4\n')
('3:03\n', '4\n')
('3:02\n', '4\n')
('3:01\n', '4\n')
('1:29\n', '4\n')
('1:28\n', '4\n')
('1:27\n', '4\n')
('1:26\n', '4\n')
('1:25\n', '4\n')
('1:24\n', '4\n')
('1:21\n', '4\n')
('1:04\n', '4\n')
('1:03\n', '4\n')
('1:02\n', '4\n')
('1:01\n', '4\n')
('1:00\n', '4\n')
('1:00\n', '4\n')
