('9:27\n', 'FIRST QUARTER\n')
('9:26\n', 'FIRST QUARTER\n')
('9:25\n', 'FIRST QUARTER\n')
('9:24\n', 'FIRST QUARTER\n')
('9:23\n', 'FIRST QUARTER\n')
('9:22\n', 'FIRST QUARTER\n')
('8:26\n', 'FIRST QUARTER\n')
('8:25\n', 'FIRST QUARTER\n')
('8:24\n', 'FIRST QUARTER\n')
('8:23\n', 'FIRST QUARTER\n')
('8:22\n', 'FIRST QUARTER\n')
('8:21\n', 'FIRST QUARTER\n')
('8:20\n', 'FIRST QUARTER\n')
('8:18\n', 'FIRST QUARTER\n')
('8:17\n', 'FIRST QUARTER\n')
('4.24\n', 'FIRST QUARTER\n')
('4:23\n', 'FIRST QUARTER\n')
(':22\n', 'FIRST QUARTER\n')
('4:21\n', 'FIRST QUARTER\n')
('4:20\n', 'FIRST QUARTER\n')
('11:10\n', 'SECOND QUARTER\n')
('11:09\n', 'SECOND QUARTER\n')
('11:08\n', 'SECOND QUARTER\n')
('11:07\n', 'SECOND QUARTER\n')
('11:06\n', 'SECOND QUARTER\n')
('11:05\n', 'SECOND QUARTER\n')
('11:04\n', 'SECOND QUARTER\n')
('11:02\n', 'SECOND QUARTER\n')
('11:01\n', 'SECOND QUARTER\n')
('5:11\n', 'SECOND QUARTER\n')
('5:10\n', 'SECOND QUARTER\n')
('5:09\n', 'SECOND QUARTER\n')
('5:08\n', 'SECOND QUARTER\n')
('5:07\n', 'SECOND QUARTER\n')
('5:07\n', 'SECOND QUARTER\n')
('5:07\n', 'SECOND QUARTER\n')
('5:07\n', 'SECOND QUARTER\n')
('5:07\n', 'SECOND QUARTER\n')
('2:05\n', 'SECOND QUARTER\n')
('2:04\n', 'SECOND QUARTER\n')
('2:03\n', 'SECOND QUARTER\n')
('2:02\n', 'SECOND QUARTER\n')
('2:01\n', 'SECOND QUARTER\n')
('2:00\n', 'SECOND QUARTER\n')
('1:59\n', 'SECOND QUARTER\n')
('1:58\n', 'SECOND QUARTER\n')
('1:57\n', 'SECOND QUARTER\n')
('9:46\n', 'THIRD QUARTER\n')
('9:45\n', 'THIRD QUARTER\n')
('9:44\n', 'THIRD QUARTER\n')
('9:43\n', 'THIRD QUARTER\n')
('9:42\n', 'THIRD QUARTER\n')
('9:41\n', 'THIRD QUARTER\n')
('7:01\n', 'THIRD QUARTER\n')
('7:00\n', 'THIRD QUARTER\n')
('6:59\n', 'THIRD QUARTER\n')
('6:58\n', 'THIRD QUARTER\n')
('6:57\n', 'THIRD QUARTER\n')
('6:57\n', 'THIRD QUARTER\n')
('3:17\n', 'THIRD QUARTER\n')
('3:16\n', 'THIRD QUARTER\n')
('3:15\n', 'THIRD QUARTER\n')
('3:14\n', 'THIRD QUARTER\n')
('3:13\n', 'THIRD QUARTER\n')
('3:12\n', 'THIRD QUARTER\n')
('3:11\n', 'THIRD QUARTER\n')
('3:10\n', 'THIRD QUARTER\n')
('2:47\n', 'THIRD QUARTER\n')
('2:46\n', 'THIRD QUARTER\n')
('2:45\n', 'THIRD QUARTER\n')
('2:44\n', 'THIRD QUARTER\n')
('2:43\n', 'THIRD QUARTER\n')
('2:42\n', 'THIRD QUARTER\n')
('2:41\n', 'THIRD QUARTER\n')
('1:20\n', 'THIRD QUARTER\n')
('1:19\n', 'THIRD QUARTER\n')
('1:18\n', 'THIRD QUARTER\n')
('1:17\n', 'THIRD QUARTER\n')
('1:16\n', 'THIRD QUARTER\n')
('1:15\n', 'THIRD QUARTER\n')
('1:14\n', 'THIRD QUARTER\n')
('1:13\n', 'THIRD QUARTER\n')
('9:24\n', 'FOURTH QUARTER\n')
('9:23\n', 'FOURTH QUARTER\n')
('9:22\n', 'FOURTH QUARTER\n')
('9:21\n', 'FOURTH QUARTER\n')
('9:20\n', 'FOURTH QUARTER\n')
('9:19\n', 'FOURTH QUARTER\n')
('8:52\n', 'FOURTH QUARTER\n')
('8:51\n', 'FOURTH QUARTER\n')
('8:50\n', 'FOURTH QUARTER\n')
('8:49\n', 'FOURTH QUARTER\n')
('8:48\n', 'FOURTH QUARTER\n')
('8:47\n', 'FOURTH QUARTER\n')
('3:25\n', 'FOURTH QUARTER\n')
('3:24\n', 'FOURTH QUARTER\n')
('3:23\n', 'FOURTH QUARTER\n')
('3:22\n', 'FOURTH QUARTER\n')
('3:21\n', 'FOURTH QUARTER\n')
('1:16\n', 'FOURTH QUARTER\n')
('1:15\n', 'FOURTH QUARTER\n')
('1:14\n', 'FOURTH QUARTER\n')
('1:13\n', 'FOURTH QUARTER\n')
('1:12\n', 'FOURTH QUARTER\n')
('1:12\n', 'FOURTH QUARTER\n')
('4:57\n', 'OVERTIME\n')
('4:56\n', 'OVERTIME\n')
('4:55\n', 'OVERTIME\n')
('4:54\n', 'OVERTIME\n')
('2:16\n', 'OVERTIME\n')
(':15\n', 'OVERTIME\n')
(':14\n', 'OVERTIME\n')
('2:13\n', 'OVERTIME\n')
('2:12\n', 'OVERTIME\n')
('2:11\n', 'OVERTIME\n')
('2:10\n', 'OVERTIME\n')
('2:10\n', 'OVERTIME\n')
('2:10\n', 'OVERTIME\n')
('2:10\n', 'OVERTIME\n')
