('8:57\n', '1\n')
('8:56\n', '1\n')
('8:55\n', '1\n')
('8:54\n', '1\n')
('8:53\n', '1\n')
('8:52\n', '1\n')
('8:51\n', '1\n')
('8:50\n', '1\n')
('8:50\n', '1\n')
('5:54\n', '1\n')
('5:53\n', '1\n')
('5:52\n', '1\n')
('5:51\n', '1\n')
('5:50\n', '1\n')
('5:49\n', '1\n')
('1:04\n', '1\n')
('1:03\n', '1\n')
('1:02\n', '1\n')
('1:01\n', '1\n')
('1:00\n', '1\n')
('1:00\n', '1\n')
('1:00\n', '1\n')
('1:00\n', '1\n')
('9:36\n', '2\n')
('9:35\n', '2\n')
('9:34\n', '2\n')
('9:33\n', '2\n')
('9:32\n', '2\n')
('6:10\n', '2\n')
('6:07\n', '2\n')
('6:05\n', '2\n')
('1:32\n', '2\n')
('1:31\n', '2\n')
('1:30\n', '2\n')
('1:29\n', '2\n')
('1:28\n', '2\n')
('1:27\n', '2\n')
('1:25\n', '2\n')
('6:07\n', '3\n')
('6:05\n', '3\n')
('6:04\n', '3\n')
('5:50\n', '3\n')
('5:49\n', '3\n')
('5:48\n', '3\n')
('5:47\n', '3\n')
('5:46\n', '3\n')
('5:45\n', '3\n')
('5:44\n', '3\n')
('3:34\n', '3\n')
('3:33\n', '3\n')
('3:32\n', '3\n')
('3:31\n', '3\n')
('3:30\n', '3\n')
('3:29\n', '3\n')
('3:27\n', '3\n')
('10:45\n', '4\n')
('10:44\n', '4\n')
('10:43\n', '4\n')
('10:42\n', '4\n')
('10:41\n', '4\n')
('10:41\n', '4\n')
('10:41\n', '4\n')
('10:41\n', '4\n')
('10:41\n', '4\n')
('10:41\n', '4\n')
('10:40\n', '4\n')
('10:40\n', '4\n')
('10:40\n', '4\n')
('1:33\n', '4\n')
('1:32\n', '4\n')
('1:31\n', '4\n')
('71:30\n', '4\n')
('1:29\n', '4\n')
('7:28\n', '4\n')
('2:18\n', '4\n')
('2:17\n', '4\n')
('2:16\n', '4\n')
('2:15\n', '4\n')
('2:14\n', '4\n')
('2:13\n', '4\n')
('2:12\n', '4\n')
