('6:15\n', '1\n')
('6:14\n', '1\n')
('6:13\n', '1\n')
('6:12\n', '1\n')
('6:11\n', '1\n')
('6:10\n', '1\n')
('6:05\n', '1\n')
('6:04\n', '1\n')
(':59.6\n', '1\n')
(':58.6\n', '1\n')
(':57.6\n', '1\n')
(':56.6\n', '1\n')
(':55.6\n', '1\n')
(':54.6\n', '1\n')
(':53.6\n', '1\n')
('53.2\n', '1\n')
(':53.2\n', '1\n')
('8:56\n', '2\n')
('8:55\n', '2\n')
('8:54\n', '2\n')
('8:53\n', '2\n')
('8:52\n', '2\n')
('8:51\n', '2\n')
('8:50\n', '2\n')
('8:48\n', '2\n')
('8:47\n', '2\n')
('7:54\n', '2\n')
('7:53\n', '2\n')
('7:52\n', '2\n')
('71:51\n', '2\n')
('7:50\n', '2\n')
('7:49\n', '2\n')
('71:47\n', '2\n')
('7:46\n', '2\n')
('4:28\n', '2\n')
('4:27\n', '2\n')
('4:26\n', '2\n')
('4:25\n', '2\n')
('4:24\n', '2\n')
('4:22\n', '2\n')
('4:21\n', '2\n')
('4:20\n', '2\n')
('3:37\n', '2\n')
('3:36\n', '2\n')
('3:35\n', '2\n')
('3:34\n', '2\n')
('3:33\n', '2\n')
('7:29\n', '3\n')
('7:28\n', '3\n')
('7:27\n', '3\n')
('7:26\n', '3\n')
('7:25\n', '3\n')
('7:25\n', '3\n')
('7:25\n', '3\n')
('71:25\n', '3\n')
('7:17\n', '3\n')
('7:16\n', '3\n')
('7:15\n', '3\n')
('7:14\n', '3\n')
('7:11\n', '3\n')
('6:34\n', '3\n')
('6:33\n', '3\n')
('6:32\n', '3\n')
('6:31\n', '3\n')
('6:30\n', '3\n')
('4:18\n', '3\n')
('4:17\n', '3\n')
('4:16\n', '3\n')
('4:15\n', '3\n')
('4:14\n', '3\n')
('4:13\n', '3\n')
('4:11\n', '3\n')
('4:10\n', '3\n')
('4:09\n', '3\n')
('1:12\n', '3\n')
('1:11\n', '3\n')
('1:10\n', '3\n')
('1:09\n', '3\n')
('1:08\n', '3\n')
('1:04\n', '3\n')
('1:03\n', '3\n')
('8:21\n', '4\n')
('8:20\n', '4\n')
('8:19\n', '4\n')
('8:18\n', '4\n')
('8:17\n', '4\n')
('6:21\n', '4\n')
('6:20\n', '4\n')
('6:19\n', '4\n')
('6:18\n', '4\n')
('6:18\n', '4\n')
('6:14\n', '4\n')
('6:13\n', '4\n')
('2:49\n', '4\n')
('2:48\n', '4\n')
('2:47\n', '4\n')
('2:46\n', '4\n')
('2:45\n', '4\n')
('2:41\n', '4\n')
('2:40\n', '4\n')
(':38.8\n', '4\n')
(':37.8\n', '4\n')
(':36.8\n', '4\n')
(':35.9\n', '4\n')
(':34.9\n', '4\n')
(':33.9\n', '4\n')
('32.9\n', '4\n')
('31.9\n', '4\n')
(':31.5\n', '4\n')
(':31.5\n', '4\n')
(':31.5\n', '4\n')
(':31.5\n', '4\n')
(':06\n', '41\n')
(':05\n', '41\n')
(':04\n', '41\n')
(':03\n', '4\n')
(':02.\n', '41\n')
(':01\n', '41\n')
(':00\n', '41\n')
(':00\n', '41\n')
(':00\n', '41\n')
(':00\n', '41\n')
(':00\n', '41\n')
(':00\n', '41\n')
(':00.\n', '41\n')
