('7:33\n', '1\n')
('1:32\n', '1\n')
('7:31\n', '1\n')
('7:30\n', '1\n')
('71:29\n', '1\n')
('7:28\n', '1\n')
('1:27\n', '1\n')
('7:26\n', '1\n')
('4:20\n', '1\n')
('4:19\n', '1\n')
('4:18\n', '1\n')
('4:17\n', '1\n')
('4:16\n', '1\n')
('4:15\n', '1\n')
('4:14\n', '1\n')
('4:13\n', '1\n')
('4:12\n', '1\n')
('4:11\n', '1\n')
(':36.4\n', '1\n')
('35.4\n', '1\n')
('34.4\n', '1\n')
('33.4\n', '1\n')
(':33.0\n', '1\n')
('10:00\n', '2\n')
('9:58\n', '2\n')
('9:57\n', '2\n')
('9:56\n', '2\n')
('9:55\n', '2\n')
('9:54\n', '2\n')
('9:54\n', '2\n')
('9:54\n', '2\n')
('9:54\n', '2\n')
('6:53\n', '2\n')
('6:52\n', '2\n')
('6:51\n', '2\n')
('6:50\n', '2\n')
('6:49\n', '2\n')
('6:48\n', '2\n')
('3:42\n', '2\n')
('3:41\n', '2\n')
('3:40\n', '2\n')
('3:39\n', '2\n')
('3:38\n', '2\n')
('3:37\n', '2\n')
('3:36\n', '2\n')
('3:35\n', '2\n')
('3:34\n', '2\n')
(':48.2\n', '2\n')
('47.3\n', '2\n')
(':46.3\n', '2\n')
('45.3\n', '2\n')
(':44.4\n', '2\n')
('44.4\n', '2\n')
('10:50\n', '3\n')
('10:49\n', '3\n')
('10:48\n', '3\n')
('10:47\n', '3\n')
('10:46\n', '3\n')
('10:45\n', '3\n')
('9:10\n', '3\n')
('6:13\n', '3\n')
('6:12\n', '3\n')
('6:11\n', '3\n')
('6:10\n', '3\n')
('4:53\n', '3\n')
('4:52\n', '3\n')
('4:51\n', '3\n')
('4:50\n', '3\n')
('4:49\n', '3\n')
('4:48\n', '3\n')
('4:47\n', '3\n')
('4:47\n', '3\n')
(':53.5\n', '3\n')
(':52.5\n', '3\n')
(':51.5\n', '3\n')
(':50.6\n', '3\n')
(':49.6\n', '3\n')
(':48.9\n', '3\n')
('48.9\n', '3\n')
('48.9\n', '3\n')
('48.9\n', '3\n')
(':48.9\n', '3\n')
('11:05\n', '4\n')
('11:04\n', '4\n')
('11:03\n', '4\n')
('11:02\n', '4\n')
('11:01\n', '4\n')
('7:50\n', '4\n')
('7:49\n', '4\n')
('7:48\n', '4\n')
('7:47\n', '4\n')
('7:46\n', '4\n')
('1:06\n', '4\n')
('1:05\n', '4\n')
('1:04\n', '4\n')
('1:03\n', '4\n')
('1:02\n', '4\n')
('1:01\n', '4\n')
('1:01\n', '4\n')
('1:01\n', '4\n')
('1:01\n', '4\n')
('1:01\n', '4\n')
('1:00\n', '4\n')
