('9:04\n', '1\n')
('9:03\n', '1\n')
('9:02\n', '1\n')
('9:01\n', '11\n')
('8:59\n', '11\n')
('8:58\n', '11\n')
('8:57\n', '11\n')
('8:53\n', '1\n')
('8:52\n', '1\n')
('5:28\n', '1\n')
('5:27\n', '11\n')
('5:26\n', '1\n')
('5:25\n', '11\n')
('5:24\n', '11\n')
('5:23\n', '11\n')
('5:22\n', '11\n')
('5:21\n', '11\n')
('4:29\n', '1\n')
('4:28\n', '1\n')
('4:27\n', '1\n')
('4:26\n', '1\n')
('4:25\n', '1\n')
('4:22\n', '1\n')
('3:35\n', '11\n')
('3:34\n', '11\n')
('3:33\n', '11\n')
('3:32\n', '1\n')
('3:31\n', '1\n')
('3:30\n', '1\n')
('3:29\n', '1\n')
('3:28\n', '1\n')
('3:28\n', '11\n')
('9:25\n', '2\n')
('9:25\n', '2\n')
('9:23\n', '2\n')
('9:22\n', '2\n')
('9:19\n', '2\n')
('9:18\n', '2\n')
('5:52\n', '2\n')
('5:51\n', '2\n')
('5:50\n', '2\n')
('5:49\n', '2\n')
('5:48\n', '2\n')
('5:47\n', '2\n')
('4:05\n', '2\n')
('4:04\n', '2\n')
('4:03\n', '2\n')
('4:02\n', '2\n')
('4:00\n', '2\n')
('3:59\n', '2\n')
('11:47\n', '3\n')
('11:46\n', '3\n')
('11:45\n', '3\n')
('11:44\n', '3\n')
('11:43\n', '3\n')
('11:42\n', '3\n')
('11:39\n', '3\n')
('11:38\n', '3\n')
('8:07\n', '3\n')
('8:05\n', '3\n')
('8:04\n', '3\n')
('8:03\n', '3\n')
('8:03\n', '3\n')
('8:02\n', '3\n')
('8:02\n', '3\n')
('7:52\n', '3\n')
('7:51\n', '3\n')
('7:50\n', '3\n')
('7:49\n', '3\n')
('7:48\n', '3\n')
('7:45\n', '3\n')
('7:44\n', '3\n')
('7:30\n', '3\n')
('7:29\n', '3\n')
('7:28\n', '3\n')
('7:27\n', '3\n')
('7:26\n', '3\n')
('1:25\n', '3\n')
('4:29\n', '3\n')
('4:28\n', '3\n')
('4:27\n', '3\n')
('4:26\n', '3\n')
('4:23\n', '3\n')
('4:21\n', '3\n')
('2:31\n', '3\n')
('2:30\n', '3\n')
('2:29\n', '3\n')
('2:28\n', '3\n')
('2:27\n', '3\n')
('2:26\n', '3\n')
('2:20\n', '3\n')
('2:19\n', '3\n')
('10:34\n', '4\n')
('10:33\n', '4\n')
('10:32\n', '4\n')
('10:31\n', '4\n')
('10:30\n', '4\n')
('10:28\n', '4\n')
('10:27\n', '4\n')
('10:26\n', '4\n')
('5:02\n', '4\n')
('5:01\n', '4\n')
('5:00\n', '4\n')
('4:59\n', '4\n')
('4:58\n', '4\n')
('4:52\n', '4\n')
('4:51\n', '4\n')
('3:50\n', '4\n')
('3:49\n', '4\n')
('3:48\n', '4\n')
('3:47\n', '4\n')
('3:46\n', '4\n')
('3:45\n', '4\n')
('3:45\n', '4\n')
