('9:10\n', '1\n')
('9:07\n', '1\n')
('9:05\n', '1\n')
('3:34\n', '1\n')
('3:33\n', '1\n')
('3:32\n', '1\n')
('3:31\n', '1\n')
('3:30\n', '1\n')
('2:34\n', '1\n')
('2:33\n', '1\n')
('2:32\n', '1\n')
('2:31\n', '1\n')
('2:30\n', '1\n')
('2:29\n', '1\n')
('2:28\n', '1\n')
('2:25\n', '1\n')
('2:24\n', '1\n')
('11:49\n', '2\n')
('11:48\n', '2\n')
('11:47\n', '2\n')
('11:46\n', '2\n')
('7:00\n', '2\n')
('6:59\n', '2\n')
('6:58\n', '2\n')
('6:57\n', '2\n')
('3:45\n', '2\n')
('3:44\n', '2\n')
('3:43\n', '2\n')
('3:42\n', '2\n')
('3:39\n', '2\n')
('3:38\n', '2\n')
('11:08\n', '3\n')
('11:07\n', '3\n')
('11:06\n', '3\n')
('11:05\n', '3\n')
('11:04\n', '3\n')
('11:03\n', '3\n')
('11:02\n', '3\n')
('9:18\n', '3\n')
('9:17\n', '3\n')
('9:16\n', '3\n')
('9:15\n', '3\n')
('9:13\n', '3\n')
('9:12\n', '3\n')
('7:52\n', '3\n')
('7:52\n', '3\n')
('7:51\n', '3\n')
('7:50\n', '3\n')
('7:49\n', '3\n')
('7:48\n', '3\n')
('4:45\n', '3\n')
('4:44\n', '3\n')
('4:43\n', '3\n')
('4:42\n', '3\n')
('4:41\n', '3\n')
('4:38\n', '3\n')
('4:37\n', '3\n')
('11:30\n', '4\n')
('11:29\n', '4\n')
('11:28\n', '4\n')
('11:27\n', '4\n')
('11:26\n', '4\n')
('9:28\n', '4\n')
('9:27\n', '4\n')
('9:26\n', '4\n')
('9:25\n', '4\n')
('9:24\n', '4\n')
('9:23\n', '4\n')
('9:20\n', '4\n')
('9:19\n', '4\n')
('8:14\n', '4\n')
('8:13\n', '4\n')
('8:12\n', '4\n')
('8:11\n', '4\n')
('8:10\n', '4\n')
('6:43\n', '4\n')
('6:43\n', '4\n')
('6:42\n', '4\n')
('6:41\n', '4\n')
('6:40\n', '4\n')
('6:39\n', '4\n')
('6:38\n', '4\n')
('2:31\n', '4\n')
('2:30\n', '4\n')
('2:29\n', '4\n')
('2:28\n', '4\n')
('2:27\n', '4\n')
('2:26\n', '4\n')
('1:18\n', '4\n')
('1:17\n', '4\n')
('1:16\n', '4\n')
('1:15\n', '4\n')
('1:14\n', '4\n')
('1:13\n', '4\n')
('1:13\n', '4\n')
('1:13\n', '4\n')
('1:13\n', '4\n')
('1:13\n', '4\n')
