('9:18\n', '1\n')
('9:17\n', '1\n')
('9:15\n', '1\n')
('9:14\n', '1\n')
('9:13\n', '1\n')
('9:13\n', '1\n')
('6:37\n', '1\n')
('6:36\n', '1\n')
('6:35\n', '1\n')
('6:34\n', '1\n')
('6:33\n', '1\n')
('6:32\n', '1\n')
('2:33\n', '1\n')
('2:32\n', '1\n')
('2:31\n', '1\n')
('2:30\n', '1\n')
('2:29\n', '1\n')
('2:26\n', '1\n')
('2:25\n', '1\n')
('10:10\n', '2\n')
('10:09\n', '2\n')
('10:08\n', '2\n')
('10:07\n', '2\n')
('10:07\n', '2\n')
('10:07\n', '2\n')
('6:23\n', '2\n')
('6:22\n', '2\n')
('6:21\n', '2\n')
('6:20\n', '2\n')
('6:19\n', '2\n')
('6:18\n', '2\n')
('3:55\n', '2\n')
('3:54\n', '2\n')
('3:53\n', '2\n')
('3:52\n', '2\n')
('3:52\n', '2\n')
('1:19\n', '2\n')
('1:18\n', '2\n')
('1:17\n', '2\n')
('1:16\n', '2\n')
('1:15\n', '2\n')
('1:14\n', '2\n')
('1:12\n', '2\n')
('1:11\n', '2\n')
('9:33\n', '3\n')
('9:32\n', '3\n')
('9:31\n', '3\n')
('9:30\n', '3\n')
('9:29\n', '3\n')
('9:28\n', '3\n')
('6:49\n', '3\n')
('6:48\n', '3\n')
('6:47\n', '3\n')
('6:46\n', '3\n')
('6:45\n', '3\n')
('6:44\n', '3\n')
('6:41\n', '3\n')
('6:40\n', '3\n')
('6:39\n', '3\n')
('2:24\n', '3\n')
('2:23\n', '3\n')
('2:22\n', '3\n')
('2:21\n', '3\n')
('2:20\n', '3\n')
('2:19\n', '3\n')
('2:14\n', '3\n')
('2:14\n', '3\n')
('9:29\n', '4\n')
('9:28\n', '4\n')
('9:27\n', '4\n')
('9:26\n', '4\n')
('9:25\n', '4\n')
('9:24\n', '4\n')
('9:23\n', '4\n')
('9:22\n', '4\n')
('9:21\n', '4\n')
('9:20\n', '4\n')
('9:19\n', '4\n')
('9:17\n', '4\n')
('9:17\n', '4\n')
('6:24\n', '4\n')
('6:23\n', '4\n')
('6:22\n', '4\n')
('6:21\n', '4\n')
('6:20\n', '4\n')
('6:19\n', '4\n')
('2:55\n', '4\n')
('2:54\n', '4\n')
('2:53\n', '4\n')
('2:52\n', '4\n')
('2:51\n', '4\n')
('2:50\n', '4\n')
('2:49\n', '4\n')
('1:55\n', '4\n')
('1:54\n', '4\n')
('1:53\n', '4\n')
('1:52\n', '4\n')
('1:51\n', '4\n')
('1:50\n', '4\n')
('1:50\n', '4\n')
('1:50\n', '4\n')
('1:50\n', '4\n')
('1:49\n', '4\n')
