('9:24\n', '1\n')
('9:23\n', '1\n')
('9:22\n', '1\n')
('9:21\n', '1\n')
('9:20\n', '1\n')
('9:20\n', '1\n')
('9:19\n', '1\n')
('9:18\n', '1\n')
('4:53\n', '1\n')
('4:52\n', '1\n')
('4:51\n', '1\n')
('4:50\n', '1\n')
('4:49\n', '1\n')
('4:48\n', '1\n')
('4:47\n', '1\n')
('4:47\n', '1\n')
('2:24\n', '1\n')
('2:23\n', '1\n')
('2:22\n', '1\n')
('2:21\n', '1\n')
('2:20\n', '1\n')
('2:19\n', '1\n')
('9:59\n', '2\n')
('9:58\n', '2\n')
('9:57\n', '2\n')
('9:56\n', '2\n')
('9:55\n', '2\n')
('9:54\n', '2\n')
('9:53\n', '2\n')
('9:52\n', '2\n')
('7:54\n', '2\n')
('7:53\n', '2\n')
('7:52\n', '2\n')
('7:51\n', '2\n')
('7:50\n', '2\n')
('7:49\n', '2\n')
('6:10\n', '2\n')
('6:09\n', '2\n')
('6:08\n', '2\n')
('6:07\n', '2\n')
('6:06\n', '2\n')
('6:05\n', '2\n')
('6:01\n', '2\n')
('3:04\n', '2\n')
('3:03\n', '2\n')
('3:02\n', '2\n')
('3:01\n', '2\n')
('3:00\n', '2\n')
('2:59\n', '2\n')
('6:33\n', '3\n')
('6:32\n', '3\n')
('6:31\n', '3\n')
('6:30\n', '3\n')
('6:29\n', '3\n')
('6:28\n', '3\n')
('6:27\n', '3\n')
('6:269\n', '3\n')
('6:259\n', '3\n')
('2:01\n', '3\n')
('2:00\n', '3\n')
('1:59\n', '3\n')
('1:58\n', '3\n')
('1:57\n', '3\n')
('1:56\n', '3\n')
('1:55\n', '3\n')
(':36.2\n', '3\n')
(':35.8\n', '3\n')
(':34.8\n', '3\n')
(':33.8\n', '3\n')
(':32.8\n', '3\n')
(':31.8\n', '3\n')
(':31.6\n', '3\n')
('9:40\n', '41\n')
('9:39\n', '41\n')
('9:38\n', '41\n')
('9:37\n', '41\n')
('9:36\n', '41\n')
('9:35\n', '41\n')
('9:34\n', '4\n')
('9:34\n', '41\n')
('3:39\n', '41\n')
('3:38\n', '41\n')
('3:37\n', '41\n')
('3:36\n', '41\n')
('3:35\n', '41\n')
('3:34\n', '41\n')
('3:33\n', '41\n')
('3:32\n', '41\n')
('3:31\n', '41\n')
('3:30\n', '41\n')
('3:30\n', '41\n')
('3:29\n', '41\n')
('3:29\n', '41\n')
