('7:52\n', 'FIRST QUARTER\n')
('7:51\n', 'FIRST QUARTER\n')
('7:50\n', 'FIRST QUARTER\n')
('7:49\n', 'FIRST QUARTER\n')
('7:49\n', 'FIRST QUARTER\n')
('7:49\n', 'FIRST QUARTER\n')
('7:12\n', 'FIRST QUARTER\n')
('7:11\n', 'FIRST QUARTER\n')
('7:10\n', 'FIRST QUARTER\n')
('7:09\n', 'FIRST QUARTER\n')
('7:09\n', 'FIRST QUARTER\n')
('7:09\n', 'FIRST QUARTER\n')
('7:08\n', 'FIRST QUARTER R\n')
('4:30\n', 'FIRST QUARTER\n')
('4:29\n', 'FIRST QUARTER\n')
('4.28\n', 'FIRST QUARTER\n')
('4.27\n', 'FIRST QUARTER\n')
('4:26\n', 'FIRST QUARTER\n')
('4.25\n', 'FIRST QUARTER\n')
('4.24\n', 'FIRST QUARTER\n')
('3:01\n', 'FIRST QUARTER\n')
('3:00\n', 'FIRST QUARTER\n')
('2:59\n', 'FIRST QUARTER\n')
('2:58\n', 'FIRST QUARTER\n')
('2:57\n', 'FIRST QUARTER\n')
('2:56\n', 'FIRST QUARTER\n')
('2:54\n', 'FIRST QUARTER\n')
('2:53\n', 'FIRST QUARTER\n')
('8:42\n', 'SECOND QUARTER\n')
('8:41\n', 'SECOND QUARTER\n')
('8:40\n', 'SECOND QUARTER\n')
('8:39\n', 'SECOND QUARTER\n')
('8:38\n', 'SECOND QUARTER\n')
('8:37\n', 'SECOND QUARTER\n')
('8:36\n', 'SECOND QUARTER\n')
('6:10\n', 'SECOND QUARTER\n')
('6:09\n', 'SECOND QUARTER\n')
('6:08\n', 'SECOND QUARTER\n')
('6:08\n', 'SECOND QUARTER\n')
('6:07\n', 'SECOND QUARTER\n')
('6:06\n', 'SECOND QUARTER\n')
('3:53\n', 'SECOND QUARTER\n')
('3:52\n', 'SECOND QUARTER\n')
('3:51\n', 'SECOND QUARTER\n')
('3:50\n', 'SECOND QUARTER\n')
('3:49\n', 'SECOND QUARTER\n')
('3:48\n', 'SECOND QUARTER\n')
('3:46\n', 'SECOND QUARTER\n')
('3:45\n', 'SECOND QUARTER\n')
('8:54\n', 'THIRD QUARTER\n')
('8:53\n', 'THIRD QUARTER\n')
('8:52\n', 'THIRD QUARTER\n')
('8:51\n', 'THIRD QUARTER\n')
('8:50\n', 'THIRD QUARTER\n')
('8:49\n', 'THIRD QUARTER\n')
('8:48\n', 'THIRD QUARTER\n')
('7:46\n', 'THIRD QUARTER\n')
('7:46\n', 'THIRD QUARTER\n')
('7:45\n', 'THIRD QUARTER\n')
('7:44\n', 'THIRD QUARTER\n')
('7:43\n', 'THIRD QUARTER\n')
('6:31\n', 'THIRD QUARTER\n')
('6:30\n', 'THIRD QUARTER\n')
('6:29\n', 'THIRD QUARTER\n')
('6:28\n', 'THIRD QUARTER\n')
('6:27\n', 'THIRD QUARTER\n')
('6:26\n', 'THIRD QUARTER\n')
('6:25\n', 'THIRD QUARTER\n')
('6:22\n', 'THIRD QUARTER\n')
('3:19\n', 'THIRD QUARTER\n')
('3:18\n', 'THIRD QUARTER\n')
('3:17\n', 'THIRD QUARTER\n')
('3:16\n', 'THIRD QUARTER\n')
('3:15\n', 'THIRD QUARTER\n')
('3:14\n', 'THIRD QUARTER\n')
('3:13\n', 'THIRD QUARTER\n')
('10:20\n', 'FOURTH QUARTER\n')
('10:19\n', 'FOURTH QUARTER\n')
('10:18\n', 'FOURTH QUARTER\n')
('10:17\n', 'FOURTH QUARTER\n')
('10:16\n', 'FOURTH QUARTER\n')
('10:16\n', 'FOURTH QUARTER\n')
('10:16\n', 'FOURTH QUARTER\n')
('10:16\n', 'FOURTH QUARTER\n')
('9:01\n', 'FOURTH QUARTER\n')
('9:00\n', 'FOURTH QUARTER\n')
('8:59\n', 'FOURTH QUARTER\n')
('8:58\n', 'FOURTH QUARTER\n')
('8:57\n', 'FOURTH QUARTER\n')
('8:48\n', 'FOURTH QUARTER\n')
('8:41\n', 'FOURTH QUARTER\n')
('8:40\n', 'FOURTH QUARTER\n')
('8:39\n', 'FOURTH QUARTER\n')
('8:38\n', 'FOURTH QUARTER\n')
('8:37\n', 'FOURTH QUARTER\n')
('8:36\n', 'FOURTH QUARTER\n')
('6:32\n', 'FOURTH QUARTER\n')
('6:31\n', 'FOURTH QUARTER\n')
('6:30\n', 'FOURTH QUARTER\n')
('6:29\n', 'FOURTH QUARTER\n')
('6:28\n', 'FOURTH QUARTER\n')
('6:27\n', 'FOURTH QUARTER\n')
('6:26\n', 'FOURTH QUARTER\n')
('6:25\n', 'FOURTH QUARTER\n')
('6:25\n', 'FOURTH QUARTER\n')
('6:24\n', 'FOURTH QUARTER\n')
('6:23\n', 'FOURTH QUARTER\n')
