('6:50\n', '1\n')
('6:49\n', '1\n')
('6:48\n', '1\n')
('6:47\n', '1\n')
('6:46\n', '1\n')
('6:45\n', '1\n')
('6:45\n', '1\n')
('4:04\n', '1\n')
('4:03\n', '1\n')
('4:02\n', '1\n')
('4:01\n', '1\n')
('4:00\n', '1\n')
('4:00\n', '1\n')
('4:00\n', '1\n')
('4:00\n', '1\n')
('4:00\n', '1\n')
('1:58\n', '1\n')
('1:57\n', '1\n')
('1:56\n', '1\n')
('1:55\n', '1\n')
('1:54\n', '1\n')
('1:53\n', '1\n')
('10:08\n', '2\n')
('10:07\n', '2\n')
('10:06\n', '2\n')
('10:0\n', '2\n')
('10:04\n', '2\n')
('10:03\n', '2\n')
('10:02\n', '2\n')
('10:0\n', '2\n')
('3:48\n', '2\n')
('3:47\n', '2\n')
('3:46\n', '2\n')
('3:45\n', '2\n')
('3:44\n', '2\n')
('3:43\n', '2\n')
('3:42\n', '2\n')
('2:12\n', '2\n')
('2:11\n', '2\n')
('2:10\n', '2\n')
('2:09\n', '2\n')
('2:08\n', '2\n')
('2:07\n', '2\n')
('2:06\n', '2\n')
('2:05\n', '2\n')
('2:02\n', '2\n')
('2:01\n', '2\n')
('10:44\n', '3\n')
('10:43\n', '3\n')
('10:42\n', '3\n')
('10:41\n', '3\n')
('10:4\n', '3\n')
('10:36\n', '3\n')
('10:3\n', '3\n')
('6:19\n', '3\n')
('6:18\n', '3\n')
('6:17\n', '3\n')
('6:16\n', '3\n')
('6:15\n', '3\n')
('6:14\n', '3\n')
('6:13\n', '3\n')
('6:13\n', '3\n')
('5:23\n', '3\n')
('5:22\n', '3\n')
('5:21\n', '3\n')
('5:20\n', '3\n')
('5:19\n', '3\n')
('5:18\n', '3\n')
('5:17\n', '3\n')
('5:16\n', '3\n')
('5:15\n', '3\n')
('5:15\n', '3\n')
('4:42\n', '3\n')
('4:41\n', '3\n')
('4:40\n', '3\n')
('4:39\n', '3\n')
('4:38\n', '3\n')
('4:37\n', '3\n')
('3:13\n', '3\n')
('3:12\n', '3\n')
('3:11\n', '3\n')
('3:10\n', '3\n')
('3:09\n', '3\n')
('7:18\n', '4\n')
('1:17\n', '4\n')
('7:16\n', '4\n')
('71:15\n', '4\n')
('71:14\n', '4\n')
('7:13\n', '4\n')
('7:12\n', '4\n')
('71:11\n', '4\n')
('7:09\n', '4\n')
('7:08\n', '4\n')
('7:08\n', '4\n')
