('7:30\n', '1\n')
('7:29\n', '1\n')
('7:28\n', '1\n')
('7:27\n', '1\n')
('7:26\n', '1\n')
('7:25\n', '1\n')
('3:36\n', '1\n')
('3:35\n', '1\n')
('3:34\n', '1\n')
('3:33\n', '1\n')
('3:32\n', '1\n')
('3:31\n', '1\n')
('40.7\n', '1\n')
('39.7\n', '1\n')
(':38.7\n', '1\n')
('37.7\n', '1\n')
(':36.7\n', '1\n')
(':36.2\n', '1\n')
('136.2\n', '1\n')
(':36.2\n', '1\n')
('4.24\n', '2\n')
('4:23\n', '2\n')
('4.22\n', '2\n')
('4:21\n', '2\n')
('4.20\n', '2\n')
('4:19\n', '2\n')
('4:15\n', '2\n')
('4:14\n', '2\n')
('2:54\n', '2\n')
('2:53\n', '2\n')
('2:52\n', '2\n')
('2:51\n', '2\n')
('2:51\n', '2\n')
('2\n:\n', '4\n')
('2:51\n', '2\n')
('2:51\n', '2\n')
('831\n', '3\n')
('8:30\n', '3\n')
('8.29\n', '3\n')
('8.28\n', '3\n')
('8.27\n', '3\n')
('824\n', '3\n')
('5:46\n', '3\n')
('5:45\n', '3\n')
('5:44\n', '3\n')
('543\n', '3\n')
('5:42\n', '3\n')
('542\n', '3\n')
('5.42\n', '3\n')
('5:42\n', '3\n')
('5:42\n', '3\n')
(':04.1\n', '3\n')
(':04.1\n', '3\n')
(':03.5\n', '3\n')
(':02.5\n', '3\n')
(':01.5\n', '3\n')
(':00.6\n', '3\n')
(':00.0\n', '3\n')
(':00.0\n', '3\n')
('9:21\n', '4\n')
('9:20\n', '4\n')
('9:19\n', '4\n')
('9:18\n', '4\n')
('9:17\n', '4\n')
('9:16\n', '4\n')
('9:16\n', '4\n')
('9:16\n', '4\n')
('7:37\n', '4\n')
('7:37\n', '4\n')
('7:36\n', '4\n')
('7:35\n', '4\n')
('7:34\n', '4\n')
('7:33\n', '4\n')
('3:47\n', '4\n')
('3:46\n', '4\n')
('3:45\n', '4\n')
('3:44\n', '4\n')
('3:43\n', '4\n')
('3:42\n', '4\n')
('3:41\n', '4\n')
('1:58\n', '4\n')
('1:57\n', '4\n')
('1:56\n', '4\n')
('1:55\n', '4\n')
('1:55\n', '4\n')
('1:55\n', '4\n')
