('6:04\n', '1\n')
('6:03\n', '1\n')
('6:02\n', '1\n')
('6:01\n', '1\n')
('6:00\n', '1\n')
('3:04\n', '1\n')
('3:03\n', '11\n')
('3:02\n', '1\n')
('3:01\n', '1\n')
('3:00\n', '1\n')
('3:00\n', '1\n')
('3:00\n', '1\n')
('3:00\n', '1\n')
('3:00\n', '11\n')
('3:00\n', '1\n')
('7:01\n', '2\n')
('7:00\n', '2\n')
('6:59\n', '2\n')
('6:58\n', '2\n')
('6:57\n', '2\n')
('6:56\n', '2\n')
('6:55\n', '2\n')
('3:20\n', '2\n')
('3:19\n', '2\n')
('3:18\n', '2\n')
('3:17\n', '2\n')
('3:16\n', '2\n')
('3:15\n', '2\n')
('3:14\n', '2\n')
('3:13\n', '2\n')
('1:26\n', '2\n')
('1:25\n', '2\n')
('1:24\n', '2\n')
('1:23\n', '2\n')
('1:22\n', '2\n')
('1:21\n', '2\n')
('1:20\n', '2\n')
('7:59\n', '3\n')
('7:58\n', '3\n')
('7:57\n', '3\n')
('7:56\n', '3\n')
('7:55\n', '3\n')
('7:54\n', '3\n')
('7:54\n', '3\n')
('03.5\n', '3\n')
('02.5\n', '3\n')
(':01.6\n', '3\n')
('9:01\n', '41\n')
('9:00\n', '41\n')
('8:59\n', '4\n')
('8:58\n', '41\n')
('8:57\n', '41\n')
('8:56\n', '41\n')
('8:53\n', '41\n')
('8:52\n', '41\n')
('5:59\n', '41\n')
('5:58\n', '41\n')
('5:57\n', '41\n')
('5:56\n', '41\n')
('5:58\n', '41\n')
('6:53\n', '41\n')
('5:62\n', '41\n')
('3:33\n', '41\n')
('3:32\n', '41\n')
('3:\n', '41\n')
('3:30\n', '411\n')
('3:29\n', '41\n')
('3:28\n', '41\n')
('3:26\n', '41\n')
('3:25\n', '41\n')
('3:24\n', '41\n')
('2:51\n', '4\n')
('2:50\n', '41\n')
('2:49\n', '41\n')
('2:02\n', '41\n')
('2:01\n', '41\n')
('2:00\n', '41\n')
('1:59\n', '4\n')
('1:58\n', '41\n')
('1:57\n', '41\n')
('1:56\n', '41\n')
('1:55\n', '41\n')
('1:55\n', '41\n')
('13\n', '41\n')
('1:550\n', '4\n')
('1155\n', '41\n')
